,inCites_organisation,substring,oa_id,oa_name,oa_country,score,matching_type,chosen,organization_established,organization_id,organization_links,organization_types
0,Arizona State University-Tempe,Arizona State University Tempe,https://openalex.org/I55732556,Arizona State University,US,0.89,COMMON TERMS,False,1885.0,https://ror.org/03efmqc40,"[{'type': 'website', 'value': 'https://www.asu.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Arizona_State_University'}]","['education', 'funder']"
1,Arizona State University-Tempe,Arizona State University Tempe,https://openalex.org/I2799487676,Arizona Christian University,US,0.76,COMMON TERMS,False,1960.0,https://ror.org/01j8znm98,"[{'type': 'website', 'value': 'http://arizonachristian.edu/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Arizona_Christian_University'}]",['education']
2,Arizona State University-Tempe,Arizona State University Tempe,https://openalex.org/I138006243,University of Arizona,US,0.75,COMMON TERMS,False,1885.0,https://ror.org/03m2x1q45,"[{'type': 'website', 'value': 'http://www.arizona.edu/'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/University_of_Arizona'}]","['education', 'funder']"
0,Columbia University,Columbia University,https://openalex.org/I78577930,Columbia University,US,1.0,EXACT,True,1754.0,https://ror.org/00hj8s172,"[{'type': 'website', 'value': 'https://www.columbia.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Columbia_University'}]","['education', 'funder']"
0,Copenhagen Business School,Copenhagen Business School,https://openalex.org/I180519160,Copenhagen Business School,DK,1.0,EXACT,True,1917.0,https://ror.org/04sppb023,"[{'type': 'website', 'value': 'https://www.cbs.dk'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Copenhagen_Business_School'}]","['education', 'funder']"
0,Dartmouth College,Dartmouth College,https://openalex.org/I107672454,Dartmouth College,US,1.0,EXACT,True,1769.0,https://ror.org/049s0rh22,"[{'type': 'website', 'value': 'https://home.dartmouth.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Dartmouth_College'}]","['education', 'funder']"
0,Erasmus University Rotterdam,Erasmus University Rotterdam,https://openalex.org/I913958620,Erasmus University Rotterdam,NL,1.0,EXACT,True,1913.0,https://ror.org/057w15z03,"[{'type': 'website', 'value': 'https://www.eur.nl'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Erasmus_University_Rotterdam'}]","['education', 'funder']"
0,Harvard University,Harvard University,https://openalex.org/I136199984,Harvard University,US,1.0,EXACT,True,1636.0,https://ror.org/03vek6s52,"[{'type': 'website', 'value': 'https://www.harvard.edu'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/Harvard_University'}]","['education', 'funder']"
0,Indiana University Bloomington,Indiana University Bloomington,https://openalex.org/I4210119109,Indiana University Bloomington,US,1.0,EXACT,True,1820.0,https://ror.org/02k40bc56,"[{'type': 'website', 'value': 'https://bloomington.iu.edu'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/Indiana_University_Bloomington'}]","['education', 'funder']"
0,London School Economics & Political Science,London School Economics & Political Science,https://openalex.org/I909854389,London School of Economics and Political Science,GB,0.97,COMMON TERMS,True,1895.0,https://ror.org/0090zs177,"[{'type': 'website', 'value': 'http://www.lse.ac.uk/home.aspx'}, {'type': 'wikipedia', 'value': 'http://en.wikipedia.org/wiki/London_School_of_Economics'}]","['education', 'funder']"
1,London School Economics & Political Science,London School Economics & Political Science,https://openalex.org/I2801373344,London School of Business and Finance,GB,0.56,COMMON TERMS,False,2003.0,https://ror.org/02svqj611,"[{'type': 'website', 'value': 'http://www.lsbf.org.uk/'}, {'type': 'wikipedia', 'value': 'https://en.wikipedia.org/wiki/London_School_of_Business_and_Finance'}]",['education']
