works_count,institution_name
20,University of Pennsylvania
20,North Carolina State University
19,Texas A&M University
19,Duke University
19,University of North Carolina at Chapel Hill
18,Stanford University
18,Columbia University
17,"University of California, Berkeley"
16,Georgia Institute of Technology
15,Iowa State University
15,Harvard University
15,University of Michigan
14,Johns Hopkins University
14,University of Chicago
14,University of Minnesota
14,Carnegie Mellon University
13,Princeton University
13,University of Cambridge
13,National University of Singapore
11,"University of California, Davis"
10,The University of Texas at Austin
10,Pennsylvania State University
10,University of Southampton
10,University of Wisconsin–Madison
10,Northwestern University
10,Seoul National University
9,Los Alamos National Laboratory
9,Yale University
9,University of Bristol
9,The University of Melbourne
9,University of Toronto
9,University of Washington
9,Cornell University
8,New York University
8,"University of California, Los Angeles"
8,Centre de Recherche en Économie et Statistique
8,Massachusetts Institute of Technology
7,University of Warwick
7,"University of California, San Diego"
7,"Rutgers, The State University of New Jersey"
7,University of Illinois Urbana-Champaign
7,Ruhr University Bochum
7,Shanghai University of Finance and Economics
7,ETH Zurich
7,University of Zurich
7,University College London
7,The University of Tokyo
7,Virginia Tech
6,University of Florida
6,University of Kent
6,University of Southern California
6,University of Rochester
6,University of Illinois Chicago
5,Simon Fraser University
5,London School of Economics and Political Science
5,The University of Texas MD Anderson Cancer Center
5,Mitchell Institute
5,Michigan State University
5,Université Paris Dauphine-PSL
5,Hebrew University of Jerusalem
5,Nanyang Technological University
5,Fred Hutch Cancer Center
5,Peking University
5,University of Iowa
5,Centre de Recherche en Mathématiques de la Décision
5,University of Waterloo
5,John Brown University
5,Imperial College London
4,London School of Hygiene & Tropical Medicine
4,Harvard University Press
4,Tel Aviv University
4,Technion – Israel Institute of Technology
4,Purdue University West Lafayette
4,Singapore Management University
4,Chinese University of Hong Kong
4,Fudan University
4,Norwegian University of Science and Technology
4,University of Wollongong
4,Rice University
4,The Ohio State University
4,Boston College
3,East China Normal University
3,University of Kentucky
3,University of South Carolina
3,University of Göttingen
3,Colorado State University
3,Ludwig-Maximilians-Universität München
3,Aarhus University
3,École Polytechnique Fédérale de Lausanne
3,King Abdullah University of Science and Technology
3,National Taiwan University
3,Collegio Carlo Alberto
3,Brown University
3,University of Turin
3,Chinese Academy of Sciences
3,Renmin University of China
3,Temple University
3,Centre for Research in Engineering Surface Technology
3,University of Guelph
3,Academia Sinica
3,Shanghai Jiao Tong University
3,Institut de Mathématiques de Toulouse
3,The Econometric Society
3,University of British Columbia
3,University of Copenhagen
3,Indiana University – Purdue University Indianapolis
3,KU Leuven
3,Yonsei University
3,National Bureau of Economic Research
3,Medical Research Council
3,University of Arizona
3,University of Florence
3,University of Antwerp
3,Institute for Fiscal Studies
3,Pacific Northwest National Laboratory
3,Centre for Economic Policy Research
3,Dana-Farber Cancer Institute
3,Lancaster University
3,Federal Reserve Bank of New York
3,University of Oxford
3,The University of Queensland
3,Université de Montréal
3,University of Pittsburgh
3,Bocconi University
3,University of York
3,Centre National de la Recherche Scientifique
3,Université Paris Cité
3,California University of Pennsylvania
2,Statistical and Applied Mathematical Sciences Institute
2,National Cancer Institute
2,MRC Biostatistics Unit
2,Ca' Foscari University of Venice
2,Institut de Radioprotection et de Sûreté Nucléaire
2,Laboratoire de Mathématiques
2,Laboratoire Traitement et Communication de l’Information
2,York University
2,Wuhan University
2,Pontificia Universidad Católica de Chile
2,Twin Cities Orthopedics
2,"University of Maryland, College Park"
2,Sapienza University of Rome
2,Hitotsubashi University
2,Cyprus University of Technology
2,Heidelberg University
2,Laboratoire de Mathématiques d'Orsay
2,National Yang Ming Chiao Tung University
2,Cemmap
2,Swedish University of Agricultural Sciences
2,Indiana University
2,University of Mannheim
2,City University of Hong Kong
2,University of Geneva
2,University of Leeds
2,Cardiff University
2,Institut de recherche mathématique de Rennes
2,Institute of Mathematical Statistics
2,Politecnico di Milano
2,Université de Montpellier
2,University of Bern
2,Southern Methodist University
2,University of Manchester
2,Université Libre de Bruxelles
2,Humboldt-Universität zu Berlin
2,Central University of Finance and Economics
2,Soochow University
2,"University of California, Irvine"
2,Queen Mary University of London
2,University of Tennessee at Knoxville
2,University of Alabama at Birmingham
2,Indian Agricultural Statistics Research Institute
2,United States Air Force
2,"Institute of Statistical Science, Academia Sinica"
2,Indian School of Business
2,University of Missouri
2,Jet Propulsion Laboratory
2,Center for Interuniversity Research and Analysis on Organizations
2,University of Haifa
2,Hong Kong Baptist University
2,University of Hong Kong
2,Yunnan University of Finance And Economics
2,John Wiley & Sons (United States)
2,University of Georgia
2,University of Oslo
2,University of Groningen
2,Seattle University
2,Paris School of Economics
2,Center for Responsible Travel
2,Fundación Ciencias Exactas y Naturales
2,North-West University
2,Philadelphia University
2,McGill University
2,University of Colorado Denver
2,The University of Sydney
2,UCLouvain
2,University of Utah
2,National Institutes of Health
2,University of Pisa
2,Universidade de São Paulo
2,Max Planck Institute for Intelligent Systems
2,Université Paris Nanterre
2,Hanover College
2,Université de Bourgogne
2,University of Bologna
2,University of Essex
2,Universitat Pompeu Fabra
2,Aalborg University
2,University of Miami
2,Vanderbilt University
2,University of Chile
2,"University of California, Santa Cruz"
2,Centrum Wiskunde & Informatica
2,University of St Andrews
2,Center for Discrete Mathematics and Theoretical Computer Science
2,Boston University
2,Memorial Sloan Kettering Cancer Center
2,UNSW Sydney
2,Université de Toulouse
2,Division of Cancer Epidemiology and Genetics
2,Dartmouth College
2,Institut Montpelliérain Alexander Grothendieck
2,The Institute of Statistical Mathematics
2,Hasselt University
1,University of Lausanne
1,University of Nottingham
1,RWI – Leibniz Institute for Economic Research
1,Sanofi (United States)
1,The University of Texas at Dallas
1,Concordia University
1,Institució Catalana de Recerca i Estudis Avançats
1,Weizmann Institute of Science
1,National Chung Cheng University
1,University of Chieti-Pescara
1,Cancer Research And Biostatistics
1,Huntsman (United States)
1,National University
1,Institute of Applied Mathematics
1,Tennessee Technological University
1,Centre Européen de Recherche et de Formation Avancée en Calcul Scientifique
1,Tampere University
1,Pukyong National University
1,Tampere University Hospital
1,Vrije Universiteit Amsterdam
1,Consejo Nacional de Investigaciones Científicas y Técnicas
1,University of Technology Sydney
1,University of Strathclyde
1,New York Law School
1,University of London
1,United States Department of Veterans Affairs
1,St Petersburg University
1,Laboratoire de Mathématiques Jean Leray
1,Laboratoire d’Analyse et de Mathématiques Appliquées
1,Kansas State University
1,Research Organization of Information and Systems
1,Georgetown University
1,Ecole des Hautes Etudes Commerciales du Nord
1,Kuang-Chi (China)
1,Centro de Investigación Biomédica en Red de Epidemiología y Salud Pública
1,University of Palermo
1,Hewlett-Packard (United States)
1,Nagoya University
1,Tokyo Institute of Technology
1,University of Piraeus
1,Bureau of Economic Analysis
1,TU Dortmund University
1,University of Padua
1,Carleton University
1,Google (United States)
1,Universidad de la República de Uruguay
1,Erasmus University Rotterdam
1,Universitat de les Illes Balears
1,"University of California, San Francisco"
1,United Kingdom Atomic Energy Authority
1,London Library
1,Universidade Federal do Paraná
1,Northwest University
1,Institut Polytechnique de Bordeaux
1,Hankuk University of Foreign Studies
1,University of Glasgow
1,University of Liverpool
1,Andalusian School of Public Health
1,China University of Mining and Technology
1,École Normale Supérieure de Lyon
1,Victoria University of Wellington
1,Universidade Estadual de Campinas (UNICAMP)
1,Winterthur Museum Garden and Library
1,Culham Science Centre
1,"University of California, Santa Barbara"
1,"California State University, Fullerton"
1,Tilburg University
1,U.S. National Science Foundation
1,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement"
1,KTH Royal Institute of Technology
1,Universidade Federal da Paraíba
1,University of Victoria
1,Université de Lille
1,Southern California University for Professional Studies
1,Novartis (China)
1,Pioneer Hi-Bred
1,Laboratoire Jean-Alexandre Dieudonné
1,Washington University in St. Louis
1,City University of New York
1,University of New Mexico
1,Radiation Effects Research Foundation
1,École Nationale Supérieure d’Informatique pour l’Industrie et l’Entreprise
1,Brazilian Society of Computational and Applied Mathematics
1,Universität Hamburg
1,Beaumont Health
1,Xiamen University
1,Aston University
1,Veterans Health Administration
1,Institut de Mathématiques de Marseille
1,University of Buenos Aires
1,University of Catania
1,Piedmont Reference Center for Epidemiology and Cancer Prevention
