cited_source,American Statistician,Annals of Statistics,Econometric Theory,Econometrica,Journal of Computational and Graphical Statistics,Journal of the American Statistical Association,Journal of the Royal Statistical Society Series A (Statistics in Society),Journal of the Royal Statistical Society Series B (Statistical Methodology),Scandinavian Journal of Statistics,Technometrics
American Statistician,55,6,4,4,35,17,3,9,6,8
Annals of Statistics,9,661,123,39,132,437,4,205,154,64
Econometric Theory,1,28,136,21,3,14,,8,17,
Econometrica,6,63,180,324,8,84,23,23,8,1
Journal of Computational and Graphical Statistics,14,25,2,1,107,50,5,19,19,32
Journal of the American Statistical Association,87,369,106,40,287,662,48,217,114,180
Journal of the Royal Statistical Society Series A (Statistics in Society),10,5,,,13,16,47,8,4,9
Journal of the Royal Statistical Society Series B (Statistical Methodology),10,125,19,6,139,260,21,132,59,85
Scandinavian Journal of Statistics,2,23,5,1,17,37,3,17,34,7
Technometrics,26,49,14,2,63,93,18,31,29,273
