AMERICAN STATISTICIAN,AM STAT,TAYLOR & FRANCIS INC,0003-1305,1537-2731,STATISTICS & PROBABILITY,SCIE,8460,1.8,Q1,0.84,20.27%
ANNALS OF STATISTICS,ANN STAT,INST MATHEMATICAL STATISTICS-IMS,0090-5364,N/A,STATISTICS & PROBABILITY,SCIE,26777,3.2,Q1,1.87,1.06%
ECONOMETRIC THEORY,ECONOMET THEOR,CAMBRIDGE UNIV PRESS,0266-4666,1469-4360,"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,3419,1,Q3,0.41,25.81%
ECONOMETRICA,ECONOMETRICA,WILEY,0012-9682,1468-0262,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,44504,6.6,Q1,2.73,0%
Journal of Computational and Graphical Statistics,,,1061-8600,,,,,,,,
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,J AM STAT ASSOC,TAYLOR & FRANCIS INC,0162-1459,1537-274X,STATISTICS & PROBABILITY,SCIE,45232,3,Q1,1.51,17.59%
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,J R STAT SOC A STAT,OXFORD UNIV PRESS,0964-1998,1467-985X,"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,4109,1.5,Q2,0.68,43.23%
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,J R STAT SOC B,OXFORD UNIV PRESS,1369-7412,1467-9868,STATISTICS & PROBABILITY,SCIE,29988,3.1,Q1,2.2,22.58%
SCANDINAVIAN JOURNAL OF STATISTICS,SCAND J STAT,WILEY,0303-6898,1467-9469,STATISTICS & PROBABILITY,SCIE,3822,0.8,Q3,0.47,35.88%
TECHNOMETRICS,TECHNOMETRICS,TAYLOR & FRANCIS INC,0040-1706,1537-2723,STATISTICS & PROBABILITY,SCIE,9615,2.3,Q1,1.13,11.76%
