,Research_Profile,author_id,works_count,display_name,ACR,PUB,CIT,HCP,sum,coc,score,Group,Class
0,"Guerrieri, Veronica",https://openalex.org/A5021180688,73,Veronica Guerrieri,A58,6,575,1,1933.413023857254,322.235503976209,100.0,C,German_Bernacer_Prize
1,"Gabaix, Xavier",https://openalex.org/A5069579613,202,Xavier Gabaix,A105,10,1293,1,3180.707981915585,318.0707981915585,99.4,C,Fischer Black Prize
2,"Dorn, David",https://openalex.org/A5054945129,172,David Dornbos,A49,10,2820,6,3098.345439931735,309.8345439931735,98.1,C,Gossen_Prize
3,"Holmstrom, Bengt",https://openalex.org/A5003462830,107,Bengt Holmström,A14,2,89,0,517.6921530158731,258.8460765079366,89.6,C,Nobel Prize
4,"Nakamura, Emi",https://openalex.org/A5055718351,180,Emi Nakamura,A32,14,842,1,3568.92759708819,254.9233997920136,88.9,C,John_Bates_Clark_Medal
5,"Taylor, Lucian A.",https://openalex.org/A5112890565,47,Lucian A. Taylor,MP4,9,1896,3,2126.447405299423,236.2719339221581,85.6,C,Moskowitz Prize
6,"Fama, Eugene F.",https://openalex.org/A5068490503,345,Michael C. Jensen,A17,12,4873,4,2797.66531687951,233.1387764066258,85.1,C,Nobel Prize
7,"Kline, Patrick",https://openalex.org/A5035282458,121,Patrick Kline,H09,11,694,1,2546.473084751082,231.4975531591893,84.8,C,Sherwin Rosen Prize
8,"Vissing-Jorgensen, Annette",https://openalex.org/A5053979330,120,Tobias J. Moskowitz,S11,5,369,0,1153.435042460318,230.6870084920635,84.6,C,SFI BEST PAPER AWARD
9,"Stambaugh, Robert F.",https://openalex.org/A5023702151,149,Robert F. Stambaugh,Y57,9,2553,5,2055.040140916861,228.3377934352067,84.2,C,Fama–DFA Prize
10,"Gennaioli, Nicola",https://openalex.org/A5050249057,182,Nicola Gennaioli,A99,21,2062,1,4470.10284753552,212.8620403588343,81.3,C,ERC
11,"Hendren, Nathaniel",https://openalex.org/A5008884407,671,Nathaniel Hendren,H05,18,3871,7,3826.454344791875,212.580796932882,81.2,C,Presidential Early Career Award for Scientists and Engineers
12,"Chetty, Raj",https://openalex.org/A5051484328,295,Raj Chetty,A26,18,4388,7,3773.626351615607,209.6459084230893,80.7,C,John_Bates_Clark_Medal
13,"Muir, Tyler",https://openalex.org/A5079166372,269,Tobias Adrian,A02,9,468,0,1868.764076926685,207.6404529918538,80.3,C,Fischer Black Prize
14,"Maggiori, Matteo",https://openalex.org/A5065807417,241,Matteo Maggiori,A65,14,1113,0,2779.642976204351,198.5459268717394,78.5,C,German_Bernacer_Prize
15,"Autor, David",https://openalex.org/A5029839974,333,David Autor,H06,24,5620,8,4541.747253400212,189.2394688916755,76.6,C,Special Heinz Award
16,"Karabarbounis, Loukas",https://openalex.org/A5069670842,80,Loukas Karabarbounis,A63,10,601,1,1838.783811031746,183.8783811031746,75.5,C,German_Bernacer_Prize
17,"Ljungqvist, Alexander",https://openalex.org/A5084233777,160,Alexander Ljungqvist,A91,11,1357,2,2015.598032940115,183.2361848127378,75.4,C,ERC
18,"Allcott, Hunt",https://openalex.org/A5086150821,435,David Knoke,H07,15,5175,6,2742.941995492841,182.8627996995227,75.3,C,Atkinson Award
19,"Shleifer, Andrei",https://openalex.org/A5110890240,526,Andrei Shleifer,H08,27,2461,3,4871.161671182984,180.4133952289994,74.8,C,John_Bates_Clark_Medal
