ISSN,Journal,categories,Subject_areas,source_id,display_name
0004-8992,Australian Economic History Review,[ECONOMICS],Bus Hist,https://openalex.org/S108455820,Australian Economic History Review
1467-2227,Enterprise and Society,[BUSINESS],Bus Hist,https://openalex.org/S16035445,Enterprise & Society
0007-6791,Business History,[BUSINESS],Bus Hist,https://openalex.org/S942037226,Business History
2155-2851,Accounting History Review,,Bus Hist,https://openalex.org/S2764833774,Accounting History Review
0007-6805,Business History Review,[BUSINESS],Bus Hist,https://openalex.org/S88020226,The Business History Review
0013-0117,Economic History Review,[ECONOMICS],Bus Hist,https://openalex.org/S165492527,The Economic History Review
1368-4221,Econometrics Journal,[ECONOMICS],Economics,https://openalex.org/S33519306,Econometrics Journal
1573-9414,Economic Change and Restructuring,[ECONOMICS],Economics,https://openalex.org/S4210193400,Economic Change and Restructuring
0144-8188,International Review of Law and Economics,[ECONOMICS],Economics,https://openalex.org/S121409115,International Review of Law and Economics
0922-680X,Journal of Regulatory Economics,[ECONOMICS],Economics,https://openalex.org/S114801022,Journal of Regulatory Economics
1479-8409,Journal of Financial Econometrics,"['BUSINESS, FINANCE', ECONOMICS]",Economics,https://openalex.org/S207154782,Journal of Financial Econometrics
1569-5239,Review of Economics of the Household,[ECONOMICS],Economics,https://openalex.org/S120253869,Review of Economics of the Household
0266-2671,Economics and Philosophy,,Economics,https://openalex.org/S128223704,Economics and Philosophy
0160-3477,Journal of Post Keynesian Economics,[ECONOMICS],Economics,https://openalex.org/S151404345,Journal of Post Keynesian Economics
0143-831X,Economic and Industrial Democracy,,Economics,https://openalex.org/S5195456,Economic and Industrial Democracy
1569-5239,Review of Economics of the Household,,Economics,https://openalex.org/S120253869,Review of Economics of the Household
2214-8043,Journal of Behavioral and Experimental Economics,[ECONOMICS],Economics,https://openalex.org/S4210233753,Journal of Behavioral and Experimental Economics
0960-3107,Applied Financial Economics,,Economics,https://openalex.org/S35128040,Applied Financial Economics
0004-900X,Australian Economic Papers,[ECONOMICS],Economics,https://openalex.org/S57522439,Australian Economic Papers
0967-2567,European Journal of the History of Economic Thought,[ECONOMICS],Economics,https://openalex.org/S105799767,European Journal of the History of Economic Thought
1744-1374,Journal of Institutional Economics,[ECONOMICS],Economics,https://openalex.org/S146268463,Journal of Institutional Economics
1465-6485,German Economic Review,[ECONOMICS],Economics,https://openalex.org/S13669392,German Economic Review
1941-1383,Annual Review of Economics,[ECONOMICS],Economics,https://openalex.org/S196715598,Annual Review of Economics
1815-4654,International Journal of Central Banking,"['BUSINESS, FINANCE']",Economics,https://openalex.org/S9551102,International journal of central banking
1933-6837,Theoretical Economics,,Economics,https://openalex.org/S10997704,Theoretical Economics
2640-205X,American Economic Review: Insights,[ECONOMICS],Economics,https://openalex.org/S4210174288,American Economic Review Insights
0018-2702,History of Political Economy,[ECONOMICS],Economics,https://openalex.org/S83145862,History of Political Economy
0012-9682,Econometrica,[ECONOMICS],Economics,https://openalex.org/S95464858,Econometrica
0015-2218,FinanzArchiv,,Economics,https://openalex.org/S22315241,FinanzArchiv Public Finance Analysis
0895-3309,Journal of Economic Perspectives,[ECONOMICS],Economics,https://openalex.org/S72880728,The Journal of Economic Perspectives
1945-7707,American Economic Journal: Macroeconomics,[ECONOMICS],Economics,https://openalex.org/S170166683,American Economic Journal Macroeconomics
0022-037X,Journal of Developing Areas,,Economics,https://openalex.org/S14567820,The Journal of developing areas
0034-6764,Review of Social Economy,,Economics,https://openalex.org/S14568501,Review of Social Economy
0160-0176,International Regional Science Review,,Economics,https://openalex.org/S126936603,International Regional Science Review
0020-6598,International Economic Review,[ECONOMICS],Economics,https://openalex.org/S179979277,International Economic Review
0022-2186,Journal of Law and Economics,[ECONOMICS],Economics,https://openalex.org/S998097505,The Journal of Law and Economics
0020-8183,International Organization,,Economics,https://openalex.org/S160686149,International Organization
0734-306X,Journal of Labor Economics,"[ECONOMICS, INDUSTRIAL RELATIONS & LABOR]",Economics,https://openalex.org/S8557221,Journal of Labor Economics
1051-1377,Journal of Housing Economics,"[ECONOMICS, URBAN STUDIES]",Economics,https://openalex.org/S57862637,Journal of Housing Economics
0257-3032,World Bank Research Observer,"[DEVELOPMENT STUDIES, ECONOMICS]",Economics,https://openalex.org/S117685085,The World Bank Research Observer
1364-985X,Australian Journal of Agricultural and Resource Economics,,Economics,https://openalex.org/S3593595,Australian Journal of Agricultural and Resource Economics
0889-938X,Review of Industrial Organization,"[ECONOMICS, MANAGEMENT]",Economics,https://openalex.org/S3416249,Review of Industrial Organization
1935-1690,B.E. Journal of Macroeconomics,,Economics,https://openalex.org/S196564809,The B E Journal of Macroeconomics
1935-1704,B.E. Journal of Theoretical Economics,,Economics,https://openalex.org/S165881774,The B E Journal of Theoretical Economics
0269-2171,International Review of Applied Economics,,Economics,https://openalex.org/S50561683,International Review of Applied Economics
1361-374X,Pacific Economic Review,[ECONOMICS],Economics,https://openalex.org/S200274427,Pacific Economic Review
1357-1516,International Journal of the Economics of Business,,Economics,https://openalex.org/S35090897,International Journal of the Economics of Business
0967-0750,Economics of Transition,,Economics,https://openalex.org/S166792937,Economics of Transition
0391-5115,Journal of European Economic History,,Economics,https://openalex.org/S2764747635,Journal of European economic history/The Journal of European economic history
1941-1367,Annual Review of Financial Economics,"['BUSINESS, FINANCE', ECONOMICS]",Economics,https://openalex.org/S4210170931,Annual Review of Financial Economics
1011-6702,Journal of World Trade,[ECONOMICS],Economics,https://openalex.org/S105430050,Journal of World Trade
0378-5920,World Economy,"['BUSINESS, FINANCE', ECONOMICS]",Economics,https://openalex.org/S45372229,World Economy
1121-7081,Labour,,Economics,https://openalex.org/S184239247,Labour
1945-7782,American Economic Journal: Applied Economics,[ECONOMICS],Economics,https://openalex.org/S42893225,American Economic Journal Applied Economics
0007-4918,Bulletin of Indonesian Economic Studies,"[AREA STUDIES, ECONOMICS]",Economics,https://openalex.org/S203364070,Bulletin of Indonesian Economic Studies
1053-8372,Journal of the History of Economic Thought,,Economics,https://openalex.org/S4210168092,Journal of the History of Economic Thought
0028-0283,National Tax Journal,"['BUSINESS, FINANCE', ECONOMICS]",Economics,https://openalex.org/S116184629,National Tax Journal
0013-0249,Economic Record,[ECONOMICS],Economics,https://openalex.org/S130179515,Economic Record
1479-2931,Maritime Economics and Logistics,,Economics,https://openalex.org/S2764994788,Maritime Economics & Logistics
1097-3923,Journal of Public Economic Theory,[ECONOMICS],Economics,https://openalex.org/S184446198,Journal of Public Economic Theory
0933-1433,Journal of Population Economics,"[DEMOGRAPHY, ECONOMICS]",Economics,https://openalex.org/S18284184,Journal of Population Economics
0013-0095,Economic Geography,,Economics,https://openalex.org/S38825547,Economic Geography
0004-9018,Australian Economic Review,[ECONOMICS],Economics,https://openalex.org/S149486094,Australian Economic Review
1350-178X,Journal of Economic Methodology,[ECONOMICS],Economics,https://openalex.org/S52333995,Journal of Economic Methodology
0022-5258,Journal of Transport Economics and Policy,"[ECONOMICS, TRANSPORTATION]",Economics,https://openalex.org/S90477801,Journal of transport economics and policy
0013-0427,Economica,[ECONOMICS],Economics,https://openalex.org/S108845946,Economica
0307-3378,Bulletin of Economic Research,[ECONOMICS],Economics,https://openalex.org/S170913539,Bulletin of Economic Research
1475-1461,Socio-Economic Review,,Economics,https://openalex.org/S147547362,Socio-Economic Review
0266-4666,Econometric Theory,[ECONOMICS],Economics,https://openalex.org/S49389958,Econometric Theory
1463-6786,Manchester School,[ECONOMICS],Economics,https://openalex.org/S200838492,Manchester School
0306-8293,International Journal of Social Economics,,Economics,https://openalex.org/S49131624,International Journal of Social Economics
1932-8575,Journal of Human Capital,[ECONOMICS],Economics,https://openalex.org/S196716848,Journal of Human Capital
0927-5371,Labour Economics,[ECONOMICS],Economics,https://openalex.org/S163774179,Labour Economics
0347-0520,Scandinavian Journal of Economics,[ECONOMICS],Economics,https://openalex.org/S165253824,Scandinavian Journal of Economics
0570-1864,Annals of Regional Science,,Economics,https://openalex.org/S203746597,The Annals of Regional Science
