,index,selector,inCites,id,ror,display_name,country_code,works_count,cited_by_count,substring,score,matching_type,chosen,organization_established,organization_id,organization_types
0,0,1,Aalborg University,https://openalex.org/I891191580,https://ror.org/04m5j1k67,Aalborg University,DK,88292,4068942,Aalborg University,1.0,EXACT,True,1974.0,https://ror.org/04m5j1k67,['education' 'funder']
1,0,1,Aalto University,https://openalex.org/I9927081,https://ror.org/020hwjq30,Aalto University,FI,57932,3191520,Aalto University,1.0,EXACT,True,2010.0,https://ror.org/020hwjq30,['education' 'funder']
2,0,1,Aarhus University,https://openalex.org/I204337017,https://ror.org/01aj84f44,Aarhus University,DK,182932,11723957,Aarhus University,1.0,EXACT,True,1928.0,https://ror.org/01aj84f44,['education' 'funder']
3,0,3,Academia Sinica - Taiwan,https://openalex.org/I84653119,https://ror.org/05bxb3784,Academia Sinica,TW,34652,1829851,Academia Sinica Taiwan,0.81,COMMON TERMS,False,1928.0,https://ror.org/05bxb3784,['facility' 'funder']
4,1,3,Academia Sinica - Taiwan,https://openalex.org/I4210130467,https://ror.org/02vf41z82,"Institute of Taiwan History, Academia Sinica",TW,51,194,Academia Sinica Taiwan,0.68,COMMON TERMS,False,1988.0,https://ror.org/02vf41z82,['facility']
5,2,3,Academia Sinica - Taiwan,https://openalex.org/I4210099334,https://ror.org/0120q3031,"Institute of Mathematics, Academia Sinica",TW,1564,27320,Academia Sinica Taiwan,0.55,COMMON TERMS,False,1949.0,https://ror.org/0120q3031,['facility']
6,0,1,Aix-Marseille Universite,https://openalex.org/I21491767,https://ror.org/035xkbk20,Aix-Marseille Université,FR,121589,10296141,Aix-Marseille Universite,1.0,EXACT,True,1409.0,https://ror.org/035xkbk20,['education' 'funder']
7,0,1,American University,https://openalex.org/I181401687,https://ror.org/052w4zt36,American University,US,28443,913888,American University,1.0,EXACT,True,1893.0,https://ror.org/052w4zt36,['education' 'funder']
8,0,1,American University of Sharjah,https://openalex.org/I199440890,https://ror.org/001g2fj96,American University of Sharjah,AE,10317,365819,American University of Sharjah,1.0,EXACT,True,1997.0,https://ror.org/001g2fj96,['education' 'funder']
9,0,3,Arizona State University-Tempe,https://openalex.org/I55732556,https://ror.org/03efmqc40,Arizona State University,US,181511,12841951,Arizona State University Tempe,0.89,COMMON TERMS,False,1885.0,https://ror.org/03efmqc40,['education' 'funder']
10,1,3,Arizona State University-Tempe,https://openalex.org/I2799487676,https://ror.org/01j8znm98,Arizona Christian University,US,310,4137,Arizona State University Tempe,0.76,COMMON TERMS,False,1960.0,https://ror.org/01j8znm98,['education']
11,2,3,Arizona State University-Tempe,https://openalex.org/I138006243,https://ror.org/03m2x1q45,University of Arizona,US,238472,20302973,Arizona State University Tempe,0.75,COMMON TERMS,False,1885.0,https://ror.org/03m2x1q45,['education' 'funder']
12,0,1,Aston University,https://openalex.org/I169199633,https://ror.org/05j0ve876,Aston University,GB,33358,1597524,Aston University,1.0,EXACT,True,1895.0,https://ror.org/05j0ve876,['education' 'funder']
13,0,1,Athens University of Economics & Business,https://openalex.org/I73142707,https://ror.org/03s262162,Athens University of Economics and Business,GR,12365,440530,Athens University of Economics & Business,1.0,PHRASE,True,1920.0,https://ror.org/03s262162,['education' 'funder']
