journal,source_id,journal_name,ISSN,verified
EUROPEAN JOURNAL OF POLITICAL ECONOMY,https://openalex.org/S100134864,European Journal of Political Economy,0176-2680,True
NEGOTIATION AND CONFLICT MANAGEMENT RESEARCH,https://openalex.org/S100149336,Negotiation and Conflict Management Research,1750-4708,True
REVIEW OF DERIVATIVES RESEARCH,https://openalex.org/S100711025,Review of Derivatives Research,1380-6645,True
INTERNATIONAL JOURNAL OF STRATEGIC PROPERTY MANAGEMENT,https://openalex.org/S101163346,International Journal of Strategic Property Management,1648-715X,True
JOURNAL OF DEVELOPMENT ECONOMICS,https://openalex.org/S101209419,Journal of Development Economics,0304-3878,True
ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,https://openalex.org/S1014724869,Economic Research-Ekonomska Istra?ivanja,1331-677X,True
AMFITEATRU ECONOMIC,https://openalex.org/S1027187413,Amfiteatru Economic,1582-9146,True
ENERGY JOURNAL,https://openalex.org/S102805530,The Energy Journal,0195-6574,True
STRATEGIC MANAGEMENT JOURNAL,https://openalex.org/S102949365,Strategic Management Journal,0143-2095,True
JOURNAL OF ADVERTISING,https://openalex.org/S103311983,Journal of Advertising,0091-3367,True
FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,https://openalex.org/S1041061247,Finance A Uver-czech Journal of Economics and Finance,0015-1920,True
INDEPENDENT REVIEW,https://openalex.org/S104160329,The independent review,1086-1653,True
ACTA OECONOMICA,https://openalex.org/S104354167,Acta Oeconomica,0001-6373,True
JOURNAL OF WORLD TRADE,https://openalex.org/S105430050,Journal of World Trade,1011-6702,True
EUROPEAN MANAGEMENT JOURNAL,https://openalex.org/S105567970,European Management Journal,0263-2373,True
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,https://openalex.org/S105799767,European Journal of the History of Economic Thought,0967-2567,True
OXFORD REVIEW OF ECONOMIC POLICY,https://openalex.org/S106098198,Oxford Review of Economic Policy,0266-903X,True
JOURNAL OF RISK AND UNCERTAINTY,https://openalex.org/S106686155,Journal of Risk and Uncertainty,0895-5646,True
JOURNAL OF ECONOMICS,https://openalex.org/S107033909,Journal of Economics,0931-8658,True
ASIA PACIFIC JOURNAL OF MANAGEMENT,https://openalex.org/S107036887,Asia Pacific Journal of Management,0217-4561,True
JOURNAL OF SERVICE MANAGEMENT,https://openalex.org/S107183665,Journal of service management,1757-5818,True
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,https://openalex.org/S10747938,Journal of International Money and Finance,0261-5606,True
CULTURE AND ORGANIZATION,https://openalex.org/S1076045,Culture and Organization,1475-9551,True
INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,https://openalex.org/S107859553,International Small Business Journal Researching Entrepreneurship,0266-2426,True
AUSTRALIAN ECONOMIC HISTORY REVIEW,https://openalex.org/S108455820,Australian Economic History Review,0004-8992,True
ECONOMICA,https://openalex.org/S108845946,Economica,0013-0427,True
THEORETICAL ECONOMICS,https://openalex.org/S10997704,Theoretical Economics,1933-6837,True
JOURNAL OF ACCOUNTING RESEARCH,https://openalex.org/S111116695,Journal of Accounting Research,0021-8456,True
SCOTTISH JOURNAL OF POLITICAL ECONOMY,https://openalex.org/S111496547,Scottish Journal of Political Economy,0036-9292,True
PORTUGUESE ECONOMIC JOURNAL,https://openalex.org/S112983894,Portuguese Economic Journal,1617-982X,True
BUSINESS HORIZONS,https://openalex.org/S113237667,Business Horizons,0007-6813,True
HUMAN RESOURCE MANAGEMENT JOURNAL,https://openalex.org/S113497174,Human Resource Management Journal,0954-5395,True
JOURNAL OF THE ASIA PACIFIC ECONOMY,https://openalex.org/S113509650,Journal of the Asia Pacific Economy,1354-7860,True
STRATEGIC ORGANIZATION,https://openalex.org/S11394615,Strategic Organization,1476-1270,True
MANAGEMENT ACCOUNTING RESEARCH,https://openalex.org/S114140714,Management Accounting Research,1044-5005,True
JOURNAL OF ELECTRONIC COMMERCE RESEARCH,https://openalex.org/S114268679,Journal of electronic commerce research,1526-6133,True
JOURNAL OF REGULATORY ECONOMICS,https://openalex.org/S114801022,Journal of Regulatory Economics,0922-680X,True
