"Research_Profile","author_id"
"Allcott, Hunt","https://openalex.org/A5069987310"
"Bhalotra, Sonia","https://openalex.org/A5004235086"
"Greenstone, Michael","https://openalex.org/A5077574905"
"He, Guojun","https://openalex.org/A5051244066"
"Hong, Bryan","https://openalex.org/A5070475370"
"Kasahara, Hiroyuki","https://openalex.org/A5062503131"
"Kunz, Werner H.","https://openalex.org/A5053767623"
"Su, Bin","https://openalex.org/A5057203555"
"Su, Chi-Wei","https://openalex.org/A5079462108"
"Cifuentes-Faura, Javier","https://openalex.org/A5090021185"
"Fuchs-Schuendeln, Nicola","https://openalex.org/A5059233879"
"Harstad, Bard","https://openalex.org/A5112601992"
"Ribeiro-Soriano, Domingo","https://openalex.org/A5032073164"
"Taghizadeh-Hesary, Farhad","https://openalex.org/A5086567248"
"Vissing-Jorgensen, Annette","https://openalex.org/A5050635347"
