unique_issn_list,era_journal_name,era_for_codes,harzing_journal_name,harzing_field,wos_journal_name,wos_abbreviation,wos_categories,scopus_journal_name,scopus_asjc
[0377-2217],,,European Journal of Operational Research,"OR,MS,POM",,,,,
"[2326-568X, 2326-5698]",Journal of Marketing Behavior,[3506],,,,,,,
"[0023-4591, 0720-6801, 1865-5734]",Kredit und Kapital,"[3502, 3801]",,,,,,,
"[1316-8533, 2244-8772]",Actualidad Contable Faces,[3501],,,Actualidad Contable Faces,ACTUAL CONTAB FACES,"['BUSINESS, FINANCE']",,
"[1555-9068, 1559-9434]",Foresight: the international journal of applied forecasting,"[3507, 3509]",,,,,,,
[1063-8016],,,Journal of Database Management,"MIS,KM",,,,,
[2038-1379],"Review of Economics and Institutions: Economia, Societa E Istituzioni",[3801],,,,,,,
"[2157-930X, 2157-9318]",,,,,Innovation and Development,INNOV DEV,[ECONOMICS],,
"[2509-4262, 2509-4254]",,,,,Pharmacoeconomics-Open,PHARMACOECON-OPEN,[ECONOMICS],,
[2333-3324],Case Studies in Business and Management,[3507],,,,,,,
[1303-099X],,,,,EGE ACADEMIC REVIEW,EGE ACAD REV,[ECONOMICS],,
"[1651-436X, 1654-1642]",,,,,WMU Journal of Maritime Affairs,WMU J MARIT AFF,[TRANSPORTATION],,
[1022-2529],Meditari: accountancy research,[3501],,,,,,,
"[0216-423X, 2622-2167]","Journal of Accounting, Business and Management",[3501],,,,,,,
[0081-1750],,,Sociological Methodology,Sociology,,,,,
[1679-1827],Revista Eletronica de Gestao Organizacional,"[3505, 3507]",,,,,,,
[2345-4695],"The Journal of Entrepreneurship, Business and Economics (JEBE)",[3801],,,,,,,
[0306-3127],,,Social Studies of Science,Innovation,,,,,
[1535-668X],Journal of Business and Management,"[3505, 3507]",,,,,,,
"[0303-240X, 2492-7988]",Revue de l'Energie,[3801],,,,,,,
"[2597-6214, 2597-6222]",,,,,Indonesian Journal of Sustainability Accounting and Management,INDONES J SUSTAIN AC,"[MANAGEMENT, 'BUSINESS, FINANCE']",,
"[2210-9706, 2210-9714]",,,,,Journal of Rail Transport Planning & Management,J RAIL TRANSPORT PLA,[TRANSPORTATION],,
"[1598-2688, 2054-555X]",Asian Journal on Quality,[3507],,,,,,,
[0276-5624],,,Research in Social Stratification and Mobility,Sociology,,,,,
[0115-6373],Philippine Journal of Industrial Relations,[3505],,,,,,,
[2205-6033],Asia Pacific Journal of Advanced Business and Social Studies,"[3503, 3507]",,,,,,,
"[0302-3427, 1471-5430]",,,,,Science and Public Policy,SCI PUBL POLICY,[MANAGEMENT],,
"[1555-6336, 2378-864X]",Journal of International Finance and Economics,[3502],,,,,,,
"[1323-6903, 2204-1990]",Journal of Contemporary Issues in Business and Government,[3507],,,,,,,
[0010-0285],,,Cognitive Psychology,Psychology,,,,,
"[0353-359X, 1847-2206]",,,,,Ekonomski Vjesnik,EKON VJESN,[ECONOMICS],,
[1980-5160],,,,,Sistemas & Gestao,SIST GEST,[MANAGEMENT],,
[1017-7841],Bank of Valletta Review,[3502],,,,,,,
[0020-8833],,,International Studies Quarterly,Economics,,,,,
[1478-7547],Cost Effectiveness and Resource Allocation,[3801],,,,,,,
"[1019-567X, 2710-5245]",Management Dynamics,"[3505, 3507]",,,,,,,
[0047-2794],,,Journal of Social Policy,PSM,,,,,
"[1361-9209, 1879-2340]",,,Transportation Research Part D: Transport and Environme,"OR,MS,POM",TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,[TRANSPORTATION],,
"[2586-9124, 2586-9132]",,,,,Applied Economics Journal,APPL ECON J,[ECONOMICS],,
[0954-1748],,,Journal of International Development,Economics,,,,,
"[1938-7741, 1938-775X]",,,,,Journal of Transportation Security,J TRANSP SECUR,[TRANSPORTATION],,
"[0340-1707, 1861-1559]",Quarterly Journal of Economic Research,"[3502, 3801]",,,,,,,
"[0965-7576, 1467-9396]",Review of International Economics,"[3502, 3801]",Review of International Economics,Economics,Review of International Economics,REV INT ECON,[ECONOMICS],,
[1309-8047],International Journal of Business and Management Studies,"[3505, 3507]",,,,,,,
[2180-2777],Business and Management Quarterly Review,"[3506, 3507]",,,,,,,
"[0740-2287, 1040-9602, 1060-8494]",Journal for Quality and Participation,"[3505, 3507]",,,,,,,
"[0121-1048, 2422-3220]",,,,,Inquietud Empresarial,INQUIET EMPRESARIAL,[BUSINESS],,
"[2306-9007, 2307-5953]",International Review of Management and Business Research,"[3505, 3507]",,,,,,,
[1350-1763],,,Journal of European Public Policy,PSM,,,,,
"[1753-1802, 1753-1810]",Journal of Securities Operations and Custody,[3502],,,,,,,
[0267-8373],,,Work and Stress,"OS/OB,HRM/IR",,,,,
[0974-5432],South Asian Journal of Tourism and Heritage,[3508],,,,,,,
[0973-127X],Global Review of Business and Economic Research,"[3502, 3801]",,,,,,,
[1004-9754],Huan Bohai Jingji Liaowang,"[3801, 3802, 3803]",,,,,,,
[1552-2903],Journal of International Business Strategy,"[3505, 3507]",,,,,,,
[0951-8320],,,Reliability Engineering and System Safety,"OR,MS,POM",,,,,
"[1753-8351, 1753-836X]",International Journal of Workplace Health Management,"[3505, 3507]",,,,,,,
[0887-378X],,,Milbank Quarterly,PSM,,,,,
[0218-6101],Asian Journal of Marketing (National University of Singapore),[3506],,,,,,,
[0163-4437],,,"Media, Culture and Society",Comm,,,,,
"[1817-7417, 0976-3600]",,,,,African Journal of Business Ethics,AFR J BUS ETHICS,[BUSINESS],,
[2587-151X],,,,,Ekonomi Politika & Finans Arastirmalari Dergisi,EKON POLIT FINANS AR,"[ECONOMICS, 'BUSINESS, FINANCE']",,
"[1439-2917, 2194-072X]",Schmalenbach Business Review,[3507],Schmalenbach Business Review,Gen & Strat,,,,,
[1599-8258],Journal of Media Economics and Culture,[3801],,,,,,,
[0031-8248],,,Philosophy of Science,Sociology,,,,,
[1675-7227],International Journal of Banking and Finance,[3502],,,,,,,
