baseline_rank,source_idx,source_name,F,a_p,v_0110,v_1000,v_1111,r_1000,r_1111
1,23254222,American Economic Review,,492.000000,12.772454,18.964842,11.066421,1.484824,0.866429
2,203860005,The Quarterly Journal of Economics,E,208.000000,12.567988,19.907920,11.088653,1.584018,0.882293
3,4210213268,The Journal of Financial Market Infrastructures,,2.000000,12.156352,19.176957,16.408709,1.577526,1.349805
4,95464858,Econometrica,,330.000000,10.117233,16.445322,8.854461,1.625476,0.875186
5,2764798183,South African Actuarial Journal,,2.000000,8.477748,17.403863,14.486271,2.052887,1.708740
6,5353659,The Journal of Finance,,189.000000,8.082334,11.133267,7.104109,1.377482,0.878967
7,142990027,Journal of Marketing,,42.000000,7.986773,11.952485,7.967744,1.496535,0.997618
8,4210173904,Brookings Papers on Economic Activity,E,17.000000,7.686747,7.427108,6.206043,0.966223,0.807369
9,127708089,Journal of Economic Literature,E,141.000000,7.546372,8.675282,6.159681,1.149596,0.816244
10,55099511,Research in Organizational Behavior,,36.000000,7.185272,8.748991,6.427212,1.217628,0.894498
11,185325801,Journal of Korea Trade,,2.000000,7.156253,16.975644,13.732585,2.372141,1.918963
12,149240962,Journal of Financial Economics,,630.000000,7.094179,9.114693,6.197693,1.284813,0.873631
13,95323914,Journal of Political Economy,,324.000000,6.978216,10.689142,6.078978,1.531787,0.871136
14,27614628,Academy of Management Annals,,106.000000,6.715681,8.808226,5.950318,1.311591,0.886034
15,170137484,Review of Financial Studies,,514.000000,6.059657,7.958427,5.219355,1.313346,0.861328
16,4210174288,American Economic Review Insights,,150.000000,5.809350,7.953295,5.003300,1.369051,0.861249
17,88935262,The Review of Economic Studies,E,416.000000,5.771370,8.494748,4.972995,1.471877,0.861666
18,170166683,American Economic Journal Macroeconomics,E,225.000000,5.507877,6.995588,4.543186,1.270106,0.824853
19,196715598,Annual Review of Economics,,128.000000,5.225552,7.103843,4.437626,1.359444,0.849217
20,158011328,American Economic Journal Economic Policy,,259.000000,4.911165,6.209065,4.069553,1.264275,0.828633
21,2735409286,The Review of Asset Pricing Studies,,99.000000,4.868228,5.957333,4.338808,1.223717,0.891250
22,4210170805,Marketing ZFP,,3.000000,4.862554,11.391759,9.237281,2.342752,1.899677
23,22496144,Foundations and Trends® in Finance,,9.000000,4.815868,8.102197,5.742424,1.682396,1.192396
24,62142384,Journal of Accounting and Economics,,234.000000,4.589292,4.872000,3.751568,1.061602,0.817461
25,4210193178,Organization Theory,,118.000000,4.535928,6.322099,4.160739,1.393783,0.917285
26,46763546,Academy of Management Review,,256.000000,4.449644,5.972910,4.007863,1.342335,0.900716
27,143668711,Administrative Science Quarterly,,113.000000,4.326319,6.228471,3.863714,1.439670,0.893072
28,34139249,The RAND Journal of Economics,,136.000000,4.318601,5.939766,3.680926,1.375391,0.852342
