source_idx,source_name,era_journal_name,harzing_journal_name,wos_journal_name,n_refs,n_exogenous,frac_exogenous
4210234004,Korea International Accounting Review,Korean International Accounting Review,,,8765,1244,0.1419
3207870907,Journal of Inter-Organizational Relationships,Journal of Inter-Organizational Relationships,,Journal of Inter-Organizational Relationships,1200,217,0.1808
4210202311,The International journal of accounting/International journal of accounting,The International Journal of Accounting,International Journal of Accounting Information Systems,International Journal of Accounting,7592,1501,0.1977
183776795,Review of Pacific Basin Financial Markets and Policies,Review of Pacific Basin Financial Markets and Policies,,Review of Pacific Basin Financial Markets and Policies,17297,4054,0.2344
62110574,Review of Quantitative Finance and Accounting,,Review of Quantitative Finance and Accounting,Review of Quantitative Finance and Accounting,67872,16106,0.2373
107181468,Journal of Accounting Auditing & Finance,JAAF: Journal of Accounting Auditing and Finance,"Journal of Accounting, Auditing and Finance",Journal of Accounting Auditing and Finance,22828,5417,0.2373
2764892107,Multinational Business Review,Multinational Business Review,Multinational Business Review,Multinational Business Review,24064,5729,0.2381
196919950,Family Business Review,Family Business Review,Family Business Review,Family Business Review,27424,6556,0.2391
119587767,Journal of Business and Industrial Marketing,Journal of Business and Industrial Marketing,Journal of Business and Industrial Marketing,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,128624,31854,0.2477
35673206,International Marketing Review,International Marketing Review,International Marketing Review,INTERNATIONAL MARKETING REVIEW,55265,13694,0.2478
4210217054,China Accounting and Finance Review,China Accounting and Finance Review,,,6730,1689,0.251
83262020,Journal of International Financial Management and Accounting,Journal of International Financial Management and Accounting,Journal of International Financial Management and Accou,Journal of International Financial Management & Accounting,11131,2822,0.2535
48254654,Journal of Business Finance &amp Accounting,Journal of Business Finance and Accounting,Journal of Business Finance and Accounting,Journal of Business Finance & Accounting,51199,13000,0.2539
2765008422,Global Strategy Journal,Global Strategy Journal,Global Strategy Journal,Global Strategy Journal,31363,7993,0.2549
119908498,Journal of International Marketing,Journal of International Marketing,Journal of International Marketing,JOURNAL OF INTERNATIONAL MARKETING,29694,7661,0.258
74917840,The Journal of Financial Research,Journal of Financial Research,Journal of Financial Research,JOURNAL OF FINANCIAL RESEARCH,20639,5377,0.2605
2764502442,Quarterly journal of finance and accounting,Quarterly Journal of Business and Economics,,,598,157,0.2625
79989894,International Journal of Managerial Finance,International Journal of Managerial Finance,International Journal of Managerial Finance,International Journal of Managerial Finance,27199,7211,0.2651
2764953858,Journal of Real Estate Portfolio Management,Journal of Real Estate Portfolio Management,,,4495,1198,0.2665
4210197888,Review of International Business and Strategy,Review of International Business and Strategy,,Review of International Business and Strategy,18980,5058,0.2665
4210190745,Asia-Pacific Journal of Financial Studies,Asia-Pacific Journal of Financial Studies,,Asia-Pacific Journal of Financial Studies,20190,5423,0.2686
4210196836,Advances in management accounting,Advances in Management Accounting,Advances in Management Accounting,,439,118,0.2688
4210208451,Quarterly Journal of Finance,Quarterly Journal of Finance,,Quarterly Journal of Finance,11499,3098,0.2694
2764792399,Investment Analysts Journal,Investment Analysts Journal,,Investment Analysts Journal,10146,2737,0.2698
93630570,Journal of Product Innovation Management,,Journal of Product Innovation Management,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,76046,20607,0.271
4210203108,Asia-Pacific Journal of Accounting & Economics,Asia-Pacific Journal of Accounting and Economics,Asia-Pacific Journal of Accounting and Economics,Asia-Pacific Journal of Accounting & Economics,26323,7148,0.2715
4210171597,Accounting and Finance,Accounting and Finance,Accounting and Finance,Accounting and Finance,84205,22888,0.2718
74620885,"Accounting auditing & accountability journal/Accounting, auditing & accountability journal","Accounting, Auditing & Accountability Journal","Accounting, Auditing and Accountability Journal",Accounting Auditing & Accountability Journal,848,231,0.2724
136612413,Journal of Futures Markets,Journal of Futures Markets,Journal of Futures Markets,JOURNAL OF FUTURES MARKETS,39093,10706,0.2739
2765013869,Journal of Family Business Management,Journal of Family Business Management,,Journal of Family Business Management,30906,8471,0.2741
86375777,International Journal of Accounting and Information Management,International Journal of Accounting and Information Management,,International Journal of Accounting and Information Management,24818,6806,0.2742
2898124213,Journal of Accounting Literature,Journal of Accounting Literature,Journal of Accounting Literature,Journal of Accounting Literature,16961,4650,0.2742
95074589,Review of Accounting and Finance,Review of Accounting and Finance,,Review of Accounting and Finance,17100,4720,0.276
968139600,Journal of Personal Selling and Sales Management,Journal of Personal Selling and Sales Management,Journal of Personal Selling and Sales Management,Journal of Personal Selling & Sales Management,28466,7863,0.2762
139478629,Journal of Business-to-Business Marketing,Journal of Business-to-Business Marketing,Journal of Business-to-Business Marketing,Journal of Business-to-Business Marketing,23183,6416,0.2768
132432621,Journal of International Accounting Auditing and Taxation,"Journal of International Accounting, Auditing and Taxation","Journal of International Accounting, Auditing and Taxation",Journal of International Accounting Auditing and Taxation,21132,5876,0.2781
77308338,Corporate Governance An International Review,,Corporate Governance: An International Review,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,46639,13062,0.2801
28703636,Journal of Corporate Accounting & Finance,,,Journal of Corporate Accounting and Finance,17984,5040,0.2802
164507624,Asian Review of Accounting,Asian Review of Accounting,,Asian Review of Accounting,21169,5935,0.2804
175138789,Journal of International Entrepreneurship,Journal of International Entrepreneurship,,Journal of International Entrepreneurship,27430,7700,0.2807
144250037,Journal of Applied Accounting Research,Journal of Applied Accounting Research,Journal of Applied Accounting Research,Journal of Applied Accounting Research,27887,7844,0.2813
4210169699,China Journal of Accounting Studies,China Journal of Accounting Studies,,,9796,2769,0.2827
136661304,Managerial Auditing Journal,Managerial Auditing Journal,Managerial Auditing Journal,Managerial Auditing Journal,34376,9730,0.283
9351053,Financial Review,The Financial Review (Statesboro),Financial Review,FINANCIAL REVIEW,21861,6216,0.2843
171424506,European Accounting Review,European Accounting Review,European Accounting Review,European Accounting Review,38212,10870,0.2845
97320426,Journal of Supply Chain Management,Journal of Supply Chain Management,Journal of Supply Chain Management,Journal of Supply Chain Management,25672,7315,0.2849
31181851,Accounting in Europe,Accounting in Europe,Accounting in Europe,Accounting in Europe,11599,3306,0.285
131117787,Review of Finance,Review of Finance,Review of Finance,Review of Finance,42,12,0.2857
127536956,Journal of International Accounting Research,Journal of International Accounting Research,Journal of International Accounting Research,Journal of International Accounting Research,16296,4672,0.2867
2735409286,The Review of Asset Pricing Studies,Review of Asset Pricing Studies,Review of Asset Pricing Studies,Review of Asset Pricing Studies,9474,2726,0.2877
