oa_id,oa_display_name,subfield_proportion,works_count,total_subfield_count,unique_subfields
https://openalex.org/S2898603574,RAUSP Management Journal,30.039525691699602,253,76,"[Strategy and Management, Marketing, Accounting, Management of Technology and Innovation]"
https://openalex.org/S146380144,International Journal of Business and Emerging Markets,30.04484304932735,669,201,"[Accounting, Strategy and Management]"
https://openalex.org/S4210191937,Risk Management,30.058479532163744,855,257,"[Accounting, Finance, Economics and Econometrics]"
https://openalex.org/S2738076829,Cogent Business & Management,30.085875037015104,3377,1016,"[Marketing, Accounting]"
https://openalex.org/S170810187,International Journal of Bank Marketing,30.173410404624278,1730,522,"[Finance, Marketing]"
https://openalex.org/S2736787908,Asian Academy of Management Journal,30.175438596491226,285,86,"[Accounting, Management of Technology and Innovation]"
https://openalex.org/S39307421,Technological Forecasting and Social Change,30.192697768762677,9860,2977,"[Economics and Econometrics, Strategy and Management]"
https://openalex.org/S4210194109,Journal of Transportation Engineering,30.227041680786176,2951,892,[Transportation]
https://openalex.org/S203894561,International Journal of Pharmaceutical and Healthcare Marketing,30.23255813953488,602,182,"[Marketing, Economics and Econometrics]"
https://openalex.org/S22585208,Advances in consumer research,30.241187384044526,539,163,[Marketing]
https://openalex.org/S4210181831,Journal of Business and Policy Research,30.303030303030305,99,30,"[Strategy and Management, Accounting, Finance]"
https://openalex.org/S4210178498,Communications in Transportation Research,30.337078651685395,178,54,[Transportation]
https://openalex.org/S2764398122,Financial Theory and Practice,30.337078651685395,356,108,"[Finance, Economics and Econometrics]"
https://openalex.org/S4210171274,Proceedings of the Institution of Civil Engineers - Transport,30.340557275541798,1615,490,[Transportation]
https://openalex.org/S76633192,Journal of Business Ethics,30.348926380368095,10432,3166,"[Strategy and Management, Marketing]"
https://openalex.org/S4306525013,Public Finance and Management,30.36093418259023,471,143,[Economics and Econometrics]
https://openalex.org/S2764994788,Maritime Economics & Logistics,30.3951367781155,658,200,"['General Economics, Econometrics and Finance', Transportation]"
https://openalex.org/S4210176281,Technology Transfer and Entrepreneurship,30.434782608695656,115,35,"[Economics and Econometrics, Management of Technology and Innovation, Accounting]"
https://openalex.org/S52048951,International Journal of Business and Globalisation,30.437100213219615,1876,571,"[Strategy and Management, Management of Technology and Innovation, Accounting]"
https://openalex.org/S202812398,Information Systems Research,30.530262453133368,1867,570,"[Marketing, Strategy and Management]"
https://openalex.org/S155153587,Marine Resource Economics,30.54331864904552,1362,416,[Economics and Econometrics]
https://openalex.org/S59289252,Intereconomics,30.547737605542324,4619,1411,"[Finance, 'General Economics, Econometrics and Finance']"
https://openalex.org/S4210175713,Economía,30.576070901033976,677,207,"['General Economics, Econometrics and Finance', Economics and Econometrics]"
https://openalex.org/S980556082,Agricultural Economics (Zemědělská ekonomika),30.663615560640732,1748,536,"[Economics and Econometrics, Strategy and Management]"
https://openalex.org/S132950052,Journal of Interdisciplinary Economics,30.694275274056025,821,252,"[Economics and Econometrics, 'General Economics, Econometrics and Finance', Accounting]"
https://openalex.org/S4210219127,International Journal of Economic Sciences,30.76923076923077,247,76,"[Finance, Accounting, Economics and Econometrics, 'General Economics, Econometrics and Finance']"
https://openalex.org/S4210186360,Arts Marketing An International Journal,30.76923076923077,52,16,[Marketing]
https://openalex.org/S28822639,Computational Management Science,30.874785591766724,583,180,"[Economics and Econometrics, Finance]"
https://openalex.org/S8124760,Journal of Management & Organization,30.887634684453563,1949,602,"[Strategy and Management, Management of Technology and Innovation, Accounting]"
https://openalex.org/S146268463,Journal of Institutional Economics,30.89005235602094,955,295,[Economics and Econometrics]
https://openalex.org/S4210228535,VINE Journal of Information and Knowledge Management Systems,31.006160164271044,487,151,[Strategy and Management]
