run_code,F_x,tau0_inst,tau0_pct,tau0_sources,tau1_inst,tau1_pct,tau1_sources,tau2_inst,tau2_pct,tau2_sources,tau3_inst,tau3_pct,tau3_sources,tau4_inst,tau4_pct,tau4_sources,tau5_inst,tau5_pct,tau5_sources,tau10_inst,tau10_pct,tau10_sources,tau15_inst,tau15_pct,tau15_sources,tau20_inst,tau20_pct,tau20_sources
20242024,A,7926,100.0,156,2853,97.0,156,1918,94.2,156,1470,91.5,156,1195,89.0,156,1011,86.4,156,560,75.0,156,350,64.9,156,241,56.1,155
20242024,ALL,39720,100.0,2096,17897,99.5,2096,12246,98.9,2096,9648,98.3,2096,8134,97.7,2095,7069,97.2,2095,4378,94.8,2089,3233,92.6,2088,2630,90.6,2086
20242024,B,17368,100.0,805,6844,98.9,805,4711,97.6,804,3813,96.5,803,3256,95.4,803,2888,94.3,803,1829,89.0,803,1364,84.3,802,1083,80.1,802
20242024,E,21053,100.0,515,7430,98.1,515,4729,95.9,515,3571,93.9,515,2909,92.0,515,2460,90.1,514,1407,82.1,511,970,75.2,508,717,69.2,505
20242024,EB,27754,100.0,1476,11230,99.2,1476,7615,98.3,1476,6031,97.5,1475,5135,96.7,1475,4535,96.0,1475,2921,92.3,1473,2209,89.1,1472,1802,86.2,1471
20242024,X,31647,100.0,620,12320,98.9,620,7939,97.6,619,5983,96.4,619,4795,95.3,617,4028,94.3,615,2291,90.2,614,1582,86.5,613,1220,83.3,613
24242024,A,7926,100.0,156,2853,97.0,156,1918,94.2,156,1470,91.5,156,1195,89.0,156,1011,86.4,156,560,75.0,156,350,64.9,156,241,56.1,155
24242024,ALL,39720,100.0,2096,17897,99.5,2096,12246,98.9,2096,9648,98.3,2096,8134,97.7,2095,7069,97.2,2095,4378,94.8,2089,3233,92.6,2088,2630,90.6,2086
24242024,B,17368,100.0,805,6844,98.9,805,4711,97.6,804,3813,96.5,803,3256,95.4,803,2888,94.3,803,1829,89.0,803,1364,84.3,802,1083,80.1,802
24242024,E,21053,100.0,515,7430,98.1,515,4729,95.9,515,3571,93.9,515,2909,92.0,515,2460,90.1,514,1407,82.1,511,970,75.2,508,717,69.2,505
24242024,EB,27754,100.0,1476,11230,99.2,1476,7615,98.3,1476,6031,97.5,1475,5135,96.7,1475,4535,96.0,1475,2921,92.3,1473,2209,89.1,1472,1802,86.2,1471
24242024,X,31647,100.0,620,12320,98.9,620,7939,97.6,619,5983,96.4,619,4795,95.3,617,4028,94.3,615,2291,90.2,614,1582,86.5,613,1220,83.3,613
00040004,A,3005,100.0,126,902,91.9,126,553,84.4,125,398,78.3,125,295,71.5,124,241,67.0,123,102,45.6,121,44,27.3,117,19,15.3,109
00040004,ALL,15479,100.0,1333,4657,97.2,1328,2969,95.3,1324,2286,93.8,1319,1915,92.4,1316,1672,91.3,1315,1046,86.3,1306,752,81.4,1298,622,78.3,1295
00040004,B,7283,100.0,460,1973,94.8,457,1306,91.6,455,1019,88.8,452,838,86.1,450,715,83.6,449,424,73.1,439,284,62.9,433,210,55.9,430
00040004,E,6822,100.0,353,1987,94.9,350,1270,90.8,347,977,87.5,345,800,84.4,345,672,81.5,344,363,69.8,337,243,60.8,332,176,52.7,327
00040004,EB,11123,100.0,939,3270,96.6,935,2156,94.4,932,1685,92.5,928,1444,91.0,927,1252,89.4,927,759,82.3,917,555,76.5,904,445,71.8,902
00040004,X,10213,100.0,394,2676,95.0,390,1642,91.5,388,1197,88.5,388,975,86.1,385,822,84.1,385,483,75.4,381,337,67.9,376,255,61.9,374
05090509,A,3710,100.0,142,1224,93.6,142,753,87.6,140,566,82.4,140,439,77.6,139,356,73.4,139,151,52.9,138,84,39.6,138,45,26.7,134
05090509,ALL,20257,100.0,1694,6476,97.9,1689,4237,96.3,1687,3308,95.1,1686,2752,94.0,1684,2368,92.9,1682,1533,88.9,1674,1159,85.4,1672,929,82.2,1664
05090509,B,10011,100.0,646,2950,96.0,644,1918,93.1,642,1508,90.8,641,1268,88.8,640,1101,86.8,639,667,77.8,633,470,70.1,626,346,62.8,618
05090509,E,9477,100.0,428,2839,95.8,426,1817,92.7,424,1418,90.2,424,1164,87.5,422,1008,85.4,420,566,74.6,416,380,66.3,407,282,59.6,403
05090509,EB,14898,100.0,1216,4670,97.4,1213,3071,95.5,1211,2440,94.0,1209,2027,92.5,1207,1795,91.4,1207,1159,85.8,1200,861,81.0,1193,678,76.5,1185
05090509,X,13655,100.0,478,3796,96.0,475,2330,93.2,471,1708,90.7,471,1368,88.5,469,1163,86.8,468,698,79.5,462,491,72.7,458,378,67.3,458
10141014,A,4636,100.0,153,1550,95.1,153,990,90.3,152,735,85.5,152,597,81.8,152,492,78.4,152,230,60.2,151,117,43.9,150,66,31.8,149
10141014,ALL,27879,100.0,2027,9928,98.5,2024,6379,97.2,2022,4879,96.1,2018,4112,95.2,2017,3550,94.2,2016,2235,90.5,2011,1688,87.5,2006,1375,84.8,2001
10141014,B,12913,100.0,796,4208,97.1,794,2785,94.8,793,2205,92.8,791,1858,91.1,790,1617,89.3,790,1042,82.2,790,737,75.0,785,561,68.1,781
10141014,E,13970,100.0,496,4413,96.7,493,2812,93.9,492,2161,91.4,492,1801,89.4,489,1529,87.2,488,872,77.9,483,618,70.9,480,449,64.3,474
10141014,EB,20374,100.0,1445,7015,98.1,1441,4612,96.4,1439,3635,95.1,1437,3076,93.8,1436,2668,92.6,1434,1699,87.5,1431,1293,83.6,1427,1051,80.0,1424
10141014,X,19476,100.0,582,5715,97.1,580,3397,94.6,580,2534,92.7,580,2005,90.8,580,1690,89.3,578,989,83.2,575,725,78.2,567,572,73.5,563
15191519,A,6070,100.0,159,2124,95.9,159,1389,91.9,158,1073,88.5,158,862,84.8,157,715,81.3,157,368,66.3,157,187,50.0,157,128,41.6,157
15191519,ALL,34006,100.0,2134,13985,99.1,2132,9298,98.1,2132,7181,97.2,2132,5916,96.4,2131,5071,95.6,2130,3099,92.2,2127,2293,89.4,2123,1863,87.2,2122
15191519,B,14821,100.0,829,5377,98.0,829,3624,96.1,829,2904,94.6,829,2418,92.8,827,2116,91.4,827,1354,85.1,827,1006,79.4,824,773,73.7,822
15191519,E,17304,100.0,516,5863,97.3,516,3654,94.6,515,2775,92.2,515,2246,89.9,514,1908,87.9,513,1116,79.4,509,749,71.7,507,559,65.9,506
15191519,EB,23924,100.0,1504,9123,98.7,1504,6030,97.3,1504,4772,96.2,1503,3959,94.9,1503,3433,93.8,1502,2210,89.4,1499,1657,85.5,1496,1351,82.2,1493
15191519,X,25680,100.0,630,8889,98.1,628,5496,96.2,628,4051,94.5,627,3238,93.1,626,2670,91.7,625,1500,86.7,624,1048,81.9,620,836,78.6,618
