journal,ISSN,eISSN,categories
BMC Palliative Care,1472-684X,1472-684X,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF SCHOOL HEALTH,0022-4391,1746-1561,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF RURAL HEALTH,0890-765X,1748-0361,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
BMJ Open Quality,N/A,2399-6641,[HEALTH CARE SCIENCES & SERVICES]
EVALUATION & THE HEALTH PROFESSIONS,0163-2787,1552-3918,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,0963-1801,1469-2147,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Drug Healthcare and Patient Safety,1179-1365,1179-1365,[HEALTH CARE SCIENCES & SERVICES]
Journal of Patient Safety and Risk Management,2516-0435,2516-0443,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
International Review of Financial Analysis,1057-5219,1873-8079,"['BUSINESS, FINANCE']"
Management Accounting Research,1044-5005,1096-1224,"['BUSINESS, FINANCE', MANAGEMENT]"
Management Review Quarterly,2198-1620,2198-1639,"[BUSINESS, 'BUSINESS, FINANCE', MANAGEMENT]"
Strategic Change-Briefings in Entrepreneurial Finance,1086-1718,1099-1697,"['BUSINESS, FINANCE']"
International Journal of Financial Studies,2227-7072,2227-7072,"['BUSINESS, FINANCE']"
Journal of Accounting in Emerging Economies,2042-1168,2042-1176,"['BUSINESS, FINANCE']"
Journal of Accounting and Organizational Change,1832-5912,1839-5473,"['BUSINESS, FINANCE']"
Pacific Accounting Review,0114-0582,2041-5494,"['BUSINESS, FINANCE']"
International Review of Finance,1369-412X,1468-2443,"['BUSINESS, FINANCE']"
SIAM Journal on Financial Mathematics,1945-497X,1945-497X,"['BUSINESS, FINANCE']"
Journal of Revenue and Pricing Management,1476-6930,1477-657X,"['BUSINESS, FINANCE']"
Journal of European Real Estate Research,1753-9269,1753-9269,"['BUSINESS, FINANCE']"
Current Issues in Auditing,1936-1270,1936-1270,"['BUSINESS, FINANCE']"
Comptabilite Controle Audit,1262-2788,N/A,"['BUSINESS, FINANCE']"
Journal of Law Finance and Accounting,2380-5005,2380-5013,"['BUSINESS, FINANCE']"
Journal of Tax Administration,2059-190X,2059-190X,"['BUSINESS, FINANCE']"
South African Actuarial Journal,1680-2179,1680-2179,"['BUSINESS, FINANCE']"
RESEARCH POLICY,0048-7333,1873-7625,[MANAGEMENT]
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0047-2506,1478-6990,"[BUSINESS, MANAGEMENT]"
International Business Review,0969-5931,1873-6149,"[BUSINESS, MANAGEMENT]"
JOURNAL OF SMALL BUSINESS MANAGEMENT,0047-2778,1540-627X,[MANAGEMENT]
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616,[MANAGEMENT]
ORGANIZATION,1350-5084,1461-7323,[MANAGEMENT]
Journal of Enterprise Information Management,1741-0398,1758-7409,[MANAGEMENT]
Journal of International Management,1075-4253,1873-0620,[MANAGEMENT]
JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,0953-4814,1758-7816,[MANAGEMENT]
JOURNAL OF INFORMATION TECHNOLOGY,0268-3962,1466-4437,[MANAGEMENT]
European Sport Management Quarterly,1618-4742,1746-031X,[MANAGEMENT]
MANAGEMENT LEARNING,1350-5076,1461-7307,[MANAGEMENT]
Management and Organization Review,1740-8776,1740-8784,[MANAGEMENT]
International Journal of Entrepreneurship & Small Business,1476-1297,1741-8054,"[BUSINESS, MANAGEMENT]"
Journal of Organizational and End User Computing,1546-2234,1546-5012,[MANAGEMENT]
Journal of Global Responsibility,2041-2568,2041-2576,[MANAGEMENT]
Engineering Management Journal,1042-9247,2377-0643,[MANAGEMENT]
International Journal of Strategic Property Management,1648-715X,1648-9179,[MANAGEMENT]
Journal of Multi-Criteria Decision Analysis,1057-9214,1099-1360,[MANAGEMENT]
JOURNAL OF GENERAL MANAGEMENT,0306-3070,1759-6106,[MANAGEMENT]
Operations and Supply Chain Management-An International Journal,1979-3561,2579-9363,[MANAGEMENT]
REGE-Revista de Gestao,1809-2276,2177-8736,[MANAGEMENT]
Journal of Trust Research,2151-5581,2151-559X,[MANAGEMENT]
Organizacija,1318-5454,1581-1832,[MANAGEMENT]
Proceedings of the Institution of Civil Engineers-Management Procurement and Law,1751-4304,1751-4312,[MANAGEMENT]
International Journal of Business Performance Management,1368-4892,1741-5039,[MANAGEMENT]
Acta Logistica,N/A,1339-5629,[MANAGEMENT]
Foundations of Management,2080-7279,2300-5661,[MANAGEMENT]
Problemy Zarzadzania-Management Issues,1644-9584,2300-8792,[MANAGEMENT]
JOURNAL OF CONSUMER RESEARCH,0093-5301,1537-5277,[BUSINESS]
Marketing Intelligence & Planning,0263-4503,1758-8049,[BUSINESS]
MARKETING LETTERS,0923-0645,1573-059X,[BUSINESS]
Journal of Small Business and Enterprise Development,1462-6004,1758-7840,[BUSINESS]
JOURNAL OF PUBLIC POLICY & MARKETING,0743-9156,1547-7207,[BUSINESS]
Competitiveness Review,1059-5422,2051-3143,[BUSINESS]
Clothing and Textiles Research Journal,0887-302X,1940-2473,[BUSINESS]
Consumption Markets & Culture,1025-3866,1477-223X,[BUSINESS]
European Business Organization Law Review,1566-7529,1741-6205,[BUSINESS]
Journal of Asian Business and Economic Studies,N/A,2515-964X,"[BUSINESS, ECONOMICS]"
Journal of World Energy Law & Business,1754-9957,1754-9965,[BUSINESS]
Journal of Intelligence Studies in Business,2001-015X,2001-015X,[BUSINESS]
Asian Case Research Journal,0218-9275,1793-6772,[BUSINESS]
Gurukul Business Review-GBR,0973-1466,0973-9262,[BUSINESS]
Journal of Rural Studies,0743-0167,1873-1392,[GEOGRAPHY]
ANTIPODE,0066-4812,1467-8330,[GEOGRAPHY]
Mobilities,1745-0101,1745-011X,"[GEOGRAPHY, TRANSPORTATION]"
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,0309-8265,1466-1845,[GEOGRAPHY]
Space and Culture,1206-3312,1552-8308,[GEOGRAPHY]
CARTOGRAPHIC JOURNAL,0008-7041,1743-2774,[GEOGRAPHY]
Boletin de la Asociacion de Geografos Espanoles,0212-9426,2605-3322,[GEOGRAPHY]
African Geographical Review,1937-6812,2163-2642,[GEOGRAPHY]
Journal of Latin American Geography,1545-2476,1548-5811,[GEOGRAPHY]
Wellbeing Space and Society,2666-5581,2666-5581,[GEOGRAPHY]
Applied Mobilities,2380-0127,2380-0135,"[GEOGRAPHY, TRANSPORTATION]"
Revue de Geographie Alpine-Journal of Alpine Research,0035-1121,1760-7426,[GEOGRAPHY]
Journal of Settlements and Spatial Planning,2069-3419,2248-2199,[GEOGRAPHY]
GEOgraphia-UFF,1517-7793,1517-7793,[GEOGRAPHY]
Hrvatski Geografski Glasnik-Croatian Geographical Bulletin,1331-5854,1848-6401,[GEOGRAPHY]
Revista Geografica Venezolana,1012-1617,2244-8853,[GEOGRAPHY]
INTERNATIONAL MIGRATION REVIEW,0197-9183,1747-7379,[DEMOGRAPHY]
POPULATION RESEARCH AND POLICY REVIEW,0167-5923,1573-7829,[DEMOGRAPHY]
Refuge,0229-5113,1920-7336,[DEMOGRAPHY]
Journal of Demographic Economics,2054-0892,2054-0906,"[DEMOGRAPHY, ECONOMICS]"
Canadian Studies in Population,0380-1489,1927-629X,[DEMOGRAPHY]
Revista Latinoamericana de Poblacion,N/A,2393-6401,[DEMOGRAPHY]
Du Bois Review-Social Science Research on Race,1742-058X,1742-0598,[ETHNIC STUDIES]
Race and Justice,2153-3687,2153-3687,[ETHNIC STUDIES]
Asian Ethnicity,1463-1369,1469-2953,[ETHNIC STUDIES]
Transition,0041-1191,1527-8042,[ETHNIC STUDIES]
QUARTERLY JOURNAL OF ECONOMICS,0033-5533,1531-4650,[ECONOMICS]
Journal of Econometrics,0304-4076,1872-6895,[ECONOMICS]
JOURNAL OF ECONOMIC HISTORY,0022-0507,1471-6372,[ECONOMICS]
OXFORD REVIEW OF ECONOMIC POLICY,0266-903X,1460-2121,[ECONOMICS]
Economics & Human Biology,1570-677X,1873-6130,[ECONOMICS]
ENVIRONMENT AND DEVELOPMENT ECONOMICS,1355-770X,1469-4395,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
EUROPE-ASIA STUDIES,0966-8136,1465-3427,"[AREA STUDIES, ECONOMICS]"
Journal of Institutional Economics,1744-1374,1744-1382,[ECONOMICS]
Economic Systems Research,0953-5314,1469-5758,[ECONOMICS]
Journal of Cultural Economics,0885-2545,1573-6997,[ECONOMICS]
Agricultural Economics-Zemedelska Ekonomika,0139-570X,1805-9295,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
Economics & Philosophy,0266-2671,1474-0028,[ECONOMICS]
JOURNAL OF INSTITUTIONAL AND THEORETICAL ECONOMICS-ZEITSCHRIFT FUR DIE GESAMTE STAATSWISSENSCHAFT,0932-4569,1614-0559,[ECONOMICS]
ECONOMIST-NETHERLANDS,0013-063X,1572-9982,[ECONOMICS]
Journal of Economics Finance and Administrative Science,2077-1886,2218-0648,[ECONOMICS]
Pacific Economic Review,1361-374X,1468-0106,[ECONOMICS]
Journal of Industrial and Business Economics,0391-2078,1972-4977,[ECONOMICS]
Estudios Gerenciales,0123-5923,0123-5923,[ECONOMICS]
International Review of Environmental and Resource Economics,1932-1465,1932-1473,[ECONOMICS]
Asian Economic Journal,1351-3958,1467-8381,[ECONOMICS]
Journal of International Commerce Economics and Policy,1793-9933,1793-9941,[ECONOMICS]
International Journal of Transport Economics,0391-8440,N/A,"[ECONOMICS, TRANSPORTATION]"
International Real Estate Review,2154-8919,2154-8919,[ECONOMICS]
Journal of Private Enterprise,0890-913X,0890-913X,[ECONOMICS]
Gospodarka Narodowa-The Polish Journal of Economics,0867-0005,2300-5238,[ECONOMICS]
REVUE D ETUDES COMPARATIVES EST-OUEST,0338-0599,N/A,[ECONOMICS]
Politica Economica,1120-9496,1973-8218,[ECONOMICS]
Applied Economics Journal,2586-9124,2586-9132,[ECONOMICS]
Maritime Policy & Management,0308-8839,1464-5254,[TRANSPORTATION]
Future Transportation,N/A,2673-7590,[TRANSPORTATION]
Journal of Road Safety-JRS,2652-4260,2652-4252,[TRANSPORTATION]
Land,N/A,2073-445X,[ENVIRONMENTAL STUDIES]
Ecosystem Services,2212-0416,2212-0416,"[ECOLOGY, ENVIRONMENTAL STUDIES]"
Journal of Housing and the Built Environment,1566-4910,1573-7772,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Environmental and Sustainability Indicators,2665-9727,2665-9727,[ENVIRONMENTAL STUDIES]
Frontiers in Sustainability,N/A,2673-4524,[ENVIRONMENTAL STUDIES]
Transnational Environmental Law,2047-1025,2047-1033,[ENVIRONMENTAL STUDIES]
International Journal of Urban Sustainable Development,1946-3138,1946-3146,[ENVIRONMENTAL STUDIES]
Journal of Environmental Economics and Policy,2160-6544,2160-6552,[ENVIRONMENTAL STUDIES]
Problemy Ekorozwoju,1895-6912,2080-1971,[ENVIRONMENTAL STUDIES]
Climate Law,1878-6553,1878-6561,[ENVIRONMENTAL STUDIES]
JOURNAL OF SOUTHERN AFRICAN STUDIES,0305-7070,1465-3893,[AREA STUDIES]
LATIN AMERICAN RESEARCH REVIEW,N/A,1542-4278,[AREA STUDIES]
Journal of Asian Public Policy,1751-6234,1751-6242,[AREA STUDIES]
Journal of East Asian Studies,1598-2408,2234-6643,[AREA STUDIES]
East Asian Science Technology and Society-An International Journal,1875-2160,1875-2152,[AREA STUDIES]
Southeast Asian Studies,2186-7275,2423-8686,[AREA STUDIES]
International Communication of Chinese Culture,2197-4233,2197-4241,[AREA STUDIES]
Mundo Amazonico,2145-5082,2145-5082,[AREA STUDIES]
International Journal of Taiwan Studies,2468-8797,2468-8800,[AREA STUDIES]
Afriques-Debats Methodes et Terrains d Histoire,2108-6796,2108-6796,[AREA STUDIES]
Annee du Maghreb,2109-9405,2109-9405,[AREA STUDIES]
Journal of African Military History,2468-0958,2468-0966,[AREA STUDIES]
Verge-Studies in Global Asias,2373-5058,2373-5066,[AREA STUDIES]
Middle East Development Journal,1793-8120,1793-8171,[DEVELOPMENT STUDIES]
Methods in Ecology and Evolution,2041-210X,2041-2096,[ECOLOGY]
ECOGRAPHY,0906-7590,1600-0587,[ECOLOGY]
BEHAVIORAL ECOLOGY,1045-2249,1465-7279,[ECOLOGY]
Environmental DNA,2637-4943,2637-4943,[ECOLOGY]
AQUATIC ECOLOGY,1386-2588,1573-5125,[ECOLOGY]
ISME Communications,N/A,2730-6151,[ECOLOGY]
Ecosystem Health and Sustainability,2096-4129,2332-8878,[ECOLOGY]
SOUTHWESTERN NATURALIST,0038-4909,1943-6262,[ECOLOGY]
BMC Ecology and Evolution,N/A,2730-7182,[ECOLOGY]
Cityscape,1936-007X,1939-1935,[URBAN STUDIES]
Urbani Izziv-Urban Challenge,0353-6483,1855-8399,[URBAN STUDIES]
International Journal of Built Environment and Sustainability,1511-1369,2289-8948,[URBAN STUDIES]
Habitat y Sociedad,2173-125X,2173-125X,[URBAN STUDIES]
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,0952-1895,1468-0491,[PUBLIC ADMINISTRATION]
Journal of Homeland Security and Emergency Management,2194-6361,1547-7355,[PUBLIC ADMINISTRATION]
Current Forestry Reports,2198-6436,2198-6436,[FORESTRY]
Croatian Journal of Forest Engineering,1845-5719,1845-5719,[FORESTRY]
Tree-Ring Research,1536-1098,2162-4585,[FORESTRY]
Revista Forestal Mesoamerica Kuru-RFMK,2215-2504,2215-2504,[FORESTRY]
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,0022-3239,1573-2878,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
JOURNAL OF GLOBAL OPTIMIZATION,0925-5001,1573-2916,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Brazilian Journal of Operations & Production Management,2237-8960,2237-8960,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
NEW MEDIA & SOCIETY,1461-4448,1461-7315,[COMMUNICATION]
HEALTH COMMUNICATION,1041-0236,1532-7027,"[COMMUNICATION, HEALTH POLICY & SERVICES]"
PUBLIC OPINION QUARTERLY,0033-362X,1537-5331,[COMMUNICATION]
International Journal of Communication,1932-8036,1932-8036,[COMMUNICATION]
COMMUNICATION THEORY,1050-3293,1468-2885,[COMMUNICATION]
Mass Communication and Society,1520-5436,1532-7825,[COMMUNICATION]
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,0261-927X,1552-6526,[COMMUNICATION]
DISCOURSE STUDIES,1461-4456,1461-7080,[COMMUNICATION]
Critical Discourse Studies,1740-5904,1740-5912,[COMMUNICATION]
Journal of International and Intercultural Communication,1751-3057,1751-3065,[COMMUNICATION]
Global Media and China,2059-4364,2059-4372,[COMMUNICATION]
Doxa Comunicacion,1696-019X,2386-3978,[COMMUNICATION]
Brazilian Journalism Research,1808-4079,1981-9854,[COMMUNICATION]
Revista de Comunicacion de la SEECI,1576-3420,2695-5156,[COMMUNICATION]
Media Literacy and Academic Research,2585-8726,2585-9188,[COMMUNICATION]
Language-Culture and Society,2543-3164,2543-3156,[COMMUNICATION]
Turkiye Iletisim Arastirmalari Dergisi-Turkish Review of Communication Studies,N/A,2630-6220,[COMMUNICATION]
British Food Journal,0007-070X,1758-4108,[AGRICULTURAL ECONOMICS & POLICY]
Culture Agriculture Food and Environment,2153-9553,2153-9561,[AGRICULTURAL ECONOMICS & POLICY]
AUSTRALIAN FARM BUSINESS MANAGEMENT JOURNAL,1449-5937,1449-7875,[AGRICULTURAL ECONOMICS & POLICY]
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,0007-1080,1467-8543,[INDUSTRIAL RELATIONS & LABOR]
Advances in Developing Human Resources,1523-4223,1552-3055,[INDUSTRIAL RELATIONS & LABOR]
JOURNAL OF LABOR RESEARCH,0195-3613,1936-4768,[INDUSTRIAL RELATIONS & LABOR]
INDUSTRIAL LAW JOURNAL,0305-9332,1464-3669,[INDUSTRIAL RELATIONS & LABOR]
JOURNAL OF COMMUNITY HEALTH,0094-5145,1573-3610,[HEALTH POLICY & SERVICES]
Israel Journal of Health Policy Research,2045-4015,2045-4015,[HEALTH POLICY & SERVICES]
PHARMACOECONOMICS,1170-7690,1179-2027,"[ECONOMICS, HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
MEDICAL DECISION MAKING,0272-989X,1552-681X,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Therapeutics and Clinical Risk Management,N/A,1178-203X,[HEALTH CARE SCIENCES & SERVICES]
Australian Health Review,0156-5788,1449-8944,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Journal of Patient-Reported Outcomes,N/A,2509-8020,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
TEACHING AND LEARNING IN MEDICINE,1040-1334,1532-8015,[HEALTH CARE SCIENCES & SERVICES]
Advances in Simulation,N/A,2059-0628,[HEALTH CARE SCIENCES & SERVICES]
mHealth,N/A,2306-9740,[HEALTH CARE SCIENCES & SERVICES]
Patient-Related Outcome Measures,1179-271X,1179-271X,[HEALTH CARE SCIENCES & SERVICES]
Journal of Health Research,0857-4421,2586-940X,[HEALTH CARE SCIENCES & SERVICES]
JMIR Infodemiology,N/A,2564-1891,[HEALTH CARE SCIENCES & SERVICES]
Health Policy OPEN,N/A,2590-2296,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Journal of Healthcare Quality Research,N/A,2603-6479,[HEALTH CARE SCIENCES & SERVICES]
CONTEMPORARY ACCOUNTING RESEARCH,0823-9150,1911-3846,"['BUSINESS, FINANCE']"
JOURNAL OF MONEY CREDIT AND BANKING,0022-2879,1538-4616,"['BUSINESS, FINANCE', ECONOMICS]"
AUDITING-A JOURNAL OF PRACTICE & THEORY,0278-0380,1558-7991,"['BUSINESS, FINANCE']"
