source_id,dd_name,incites_name,journal_name,ISSN,categories,Categories_1
https://openalex.org/S171971387,Scandinavian Journal of Management,SCANDINAVIAN JOURNAL OF MANAGEMENT,Scandinavian Journal of Management,0956-5221,[MANAGEMENT],
https://openalex.org/S67638930,Structural Change and Economic Dynamics,STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,Structural Change and Economic Dynamics,0954-349X,[ECONOMICS],
https://openalex.org/S37173775,European Journal of Law and Economics,EUROPEAN JOURNAL OF LAW AND ECONOMICS,European Journal of Law and Economics,0929-1261,[ECONOMICS],
https://openalex.org/S2764805720,Eurasian Business Review,EURASIAN BUSINESS REVIEW,Eurasian Economic Review,1309-4297,"[BUSINESS, ECONOMICS, MANAGEMENT]",
https://openalex.org/S26598852,Economia Politica,ECONOMIA POLITICA,Economia Politica,1120-2890,[ECONOMICS],
https://openalex.org/S2898542531,Revista de Contabilidad-Spanish Accounting Review,REVISTA DE CONTABILIDAD-SPANISH ACCOUNTING REVIEW,Revista de Contabilidad,1138-4891,"['BUSINESS, FINANCE']",
https://openalex.org/S183232449,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,International Journal of Industrial Organization,0167-7187,[ECONOMICS],
https://openalex.org/S157946625,FINANCIAL MANAGEMENT,FINANCIAL MANAGEMENT,Financial Management,0046-3892,"['BUSINESS, FINANCE']",
https://openalex.org/S37623806,Public Management Review,PUBLIC MANAGEMENT REVIEW,Public Management Review,1471-9037,"[MANAGEMENT, PUBLIC ADMINISTRATION]",
https://openalex.org/S144747835,Australian Accounting Review,AUSTRALIAN ACCOUNTING REVIEW,Australian Accounting Review,1035-6908,"['BUSINESS, FINANCE']",
https://openalex.org/S156716048,Economics of Governance,ECONOMICS OF GOVERNANCE,Economics of Governance,1435-6104,[ECONOMICS],
https://openalex.org/S113509650,Journal of the Asia Pacific Economy,JOURNAL OF THE ASIA PACIFIC ECONOMY,Journal of the Asia Pacific Economy,1354-7860,[ECONOMICS],
