,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,entity_type,external_id,filter_key
2,"Gupta, Rangan",T,HCP,https://openalex.org/A5018827697,authors/A5018827697,Rangan Gupta,"University of Münster, Germany",621,32,author,https://orcid.org/0000-0003-3438-4308,authorships.author.id
8,"Lee, Chien-Chiang",T,HCP,https://openalex.org/A5015591219,authors/A5015591219,Chien-Chiang Lee,"Nanchang University, China",16,5,author,,authorships.author.id
0,"Bouri, Elie",T,HCP,https://openalex.org/A5071230295,authors/A5071230295,Elie Bouri,"Holy Spirit University of Kaslik, Lebanon",26424,466,author,https://orcid.org/0000-0003-2628-5027,authorships.author.id
6,"Tiwari, Aviral Kumar",T,HCP,https://openalex.org/A5062136150,authors/A5062136150,Aviral Kumar Tiwari,"Magadh University, India",22981,712,author,https://orcid.org/0000-0002-1822-9263,authorships.author.id
3,Xuan Vinh Vo,T,HCP,https://openalex.org/A5001100407,authors/A5001100407,Xuan Vinh Vo,University of Economics and Law,15878,383,author,https://orcid.org/0000-0002-3868-8176,authorships.author.id
0,"Kong, Dongmin",T,HCP,https://openalex.org/A5056520084,authors/A5056520084,Dongmin Kong,"Huazhong University of Science and Technology, China",6454,247,author,https://orcid.org/0000-0001-5981-0452,authorships.author.id
0,"Kraus, Sascha",T,HCP,https://openalex.org/A5055158022,authors/A5055158022,Sascha Kraus,"University of Siegen, Germany",40198,586,author,https://orcid.org/0000-0003-4886-7482,authorships.author.id
0,"Goodell, John W.",T,HCP,https://openalex.org/A5025970919,authors/A5025970919,John W. Goodell,"University of Akron, USA",11578,300,author,https://orcid.org/0000-0003-4126-9244,authorships.author.id
2,"Lin, Boqiang",T,HCP,https://openalex.org/A5003679114,authors/A5003679114,Boqiang Lin,"Xiamen University, China",53646,991,author,https://orcid.org/0000-0002-1308-400X,authorships.author.id
4,"Lucey, Brian M.",C,ERC,https://openalex.org/A5010285399,authors/A5010285399,Brian M. Lucey,"Trinity College Dublin, Ireland",28357,696,author,https://orcid.org/0000-0002-4052-8235,authorships.author.id
0,"Hammoudeh, Shawkat",T,HCP,https://openalex.org/A5038883380,authors/A5038883380,Shawkat Hammoudeh,"University of Economics Ho Chi Minh City, Viet Nam",20858,427,author,https://orcid.org/0000-0002-5455-5453,authorships.author.id
1,"Ji, Qiang",T,HCP,https://openalex.org/A5083070771,authors/A5083070771,Qiang Ji,"Zigong First People's Hospital, China",21788,367,author,https://orcid.org/0000-0002-3502-5254,authorships.author.id
0,"Ma, Feng",T,HCP,https://openalex.org/A5034570850,authors/A5034570850,Feng Ma,"Northeastern University, China",1985,167,author,,authorships.author.id
2,"Shahbaz, Muhammad",T,HCP,https://openalex.org/A5052033177,authors/A5052033177,Muhammad Shahbaz,,59231,863,author,https://orcid.org/0000-0003-4916-7648,authorships.author.id
9,"Kang, Sang Hoon",T,HCP,https://openalex.org/A5043947709,authors/A5043947709,Sang Hoon Kang,"Korea Advanced Institute of Science and Technology, Korea, Republic of",1559,370,author,https://orcid.org/0000-0002-7907-9772,authorships.author.id
0,"Smyth, Russell",T,HCP,https://openalex.org/A5087969968,authors/A5087969968,Russell Smyth,"Monash University, Australia",24683,802,author,https://orcid.org/0000-0001-6593-5462,authorships.author.id
7,"Uddin, Gazi Salah",T,HCP,https://openalex.org/A5019480291,authors/A5019480291,Gazi Salah Uddin,"Linköping University, Sweden",10975,370,author,https://orcid.org/0000-0002-5744-0192,authorships.author.id
0,"Corbet, Shaen",T,HCP,https://openalex.org/A5019834648,authors/A5019834648,Shaen Corbet,"Dublin City University, Ireland",12372,405,author,https://orcid.org/0000-0001-7430-7417,authorships.author.id
0,"Managi, Shunsuke",T,HCP,https://openalex.org/A5035555297,authors/A5035555297,Shunsuke Managi,"University of Bonn, Germany",22052,1020,author,https://orcid.org/0000-0001-7883-1427,authorships.author.id
0,"Apergis, Nicholas",T,HCP,https://openalex.org/A5108034146,authors/A5108034146,Nicholas Apergis,"University of Piraeus, Greece",26202,584,author,https://orcid.org/0000-0002-7433-2871,authorships.author.id
7,"Audretsch, David B.",T,HCP,https://openalex.org/A5078117070,authors/A5078117070,David B. Audretsch,"Indiana University Bloomington, USA",75259,1043,author,https://orcid.org/0000-0002-3815-7762,authorships.author.id
5,"Chang, Chun-Ping",T,HCP,https://openalex.org/A5064552083,authors/A5064552083,Chun-Ping Chang,"Institute of Biomedical Sciences, Academia Sinica, Taiwan, Province of China",280,13,author,,authorships.author.id
0,"Shahzad, Syed Jawad Hussain",T,HCP,https://openalex.org/A5021804779,authors/A5021804779,Syed Jawad Hussain Shahzad,"Montpellier Business School, France",16338,303,author,https://orcid.org/0000-0003-3511-6057,authorships.author.id
0,"Vrontis, Demetris",T,HCP,https://openalex.org/A5040844824,authors/A5040844824,Demetris Vrontis,"University of Nicosia, Cyprus",20973,767,author,https://orcid.org/0000-0001-7570-6241,authorships.author.id
4,"Wang, Shouyang",T,HCP,https://openalex.org/A5107048290,authors/A5107048290,Shouyang Wang,,0,3,author,,authorships.author.id
0,"Umar, Muhammad",T,HCP,https://openalex.org/A5100756987,authors/A5100756987,Muhammad Umar,"Lebanese American University, Lebanon",19122,272,author,https://orcid.org/0000-0001-5773-5954,authorships.author.id
3,"Mensi, Walid",T,HCP,https://openalex.org/A5021863807,authors/A5021863807,Walid Mensi,"University of Economics Ho Chi Minh City, Viet Nam",11434,236,author,https://orcid.org/0000-0003-2126-0787,authorships.author.id
0,"Parida, Vinit",T,HCP,https://openalex.org/A5090362709,authors/A5090362709,Vinit Parida,"Luleå University of Technology, Sweden",22444,331,author,https://orcid.org/0000-0003-3255-414X,authorships.author.id
0,"Wen, Fenghua",T,HCP,https://openalex.org/A5010789733,authors/A5010789733,Fenghua Wen,"Central South University, China",8576,214,author,https://orcid.org/0000-0003-2991-3981,authorships.author.id
0,"Umar, Zaghum",T,HCP,https://openalex.org/A5021559309,authors/A5021559309,Zaghum Umar,"Zayed University, United Arab Emirates",6594,160,author,,authorships.author.id
6,"De Massis, Alfredo",T,HCP,https://openalex.org/A5062289104,authors/A5062289104,Alfredo De Massis,"Zhejiang International Studies University, China",19380,485,author,https://orcid.org/0000-0001-5552-6497,authorships.author.id
0,"Guedhami, Omrane",T,HCP,https://openalex.org/A5043790847,authors/A5043790847,Omrane Guedhami,"University of South Carolina, USA",19375,308,author,https://orcid.org/0000-0002-3945-8313,authorships.author.id
0,"Sensoy, Ahmet",T,HCP,https://openalex.org/A5090267717,authors/A5090267717,Ahmet Şensoy,,7893,195,author,,authorships.author.id
0,"Guedhami, Omrane",C,Moskowitz Prize,https://openalex.org/A5043790847,authors/A5043790847,Omrane Guedhami,"University of South Carolina, USA",19375,308,author,https://orcid.org/0000-0002-3945-8313,authorships.author.id
1,"Dong, Kangyin",T,HCP,https://openalex.org/A5033003201,authors/A5033003201,Kangyin Dong,"Johns Hopkins University, USA",18853,280,author,https://orcid.org/0000-0002-5776-1498,authorships.author.id
6,"Dwivedi, Yogesh K.",T,HCP,https://openalex.org/A5048622877,authors/A5048622877,Yogesh K. Dwivedi,"King Fahd University of Petroleum and Minerals, Saudi Arabia",86816,944,author,https://orcid.org/0000-0002-5547-9990,authorships.author.id
5,"Kumar, Satish",T,HCP,https://openalex.org/A5100777365,authors/A5100777365,Satish Kumar,"University of Lisbon, Portugal",34585,396,author,https://orcid.org/0000-0001-5200-1476,authorships.author.id
0,"Paul, Justin",T,HCP,https://openalex.org/A5078843987,authors/A5078843987,Justin Paul,"Corvinus University of Budapest, Hungary",31705,292,author,https://orcid.org/0000-0001-5062-8371,authorships.author.id
8,"Taghizadeh-Hesary, Farhad",T,HCP,https://openalex.org/A5086567248,authors/A5086567248,Farhad Taghizadeh–Hesary,"Tokai University, Japan",19706,567,author,https://orcid.org/0000-0001-5446-7093,authorships.author.id
4,"Gozgor, Giray",T,HCP,https://openalex.org/A5015669404,authors/A5015669404,Rangan Gupta,"University of Pretoria, South Africa",29946,1571,author,,authorships.author.id
3,"Wincent, Joakim",T,HCP,https://openalex.org/A5019143179,authors/A5019143179,Joakim Wincent,"University of St. Gallen, Switzerland",12730,250,author,https://orcid.org/0000-0002-8770-8874,authorships.author.id
4,"Roubaud, David",T,HCP,https://openalex.org/A5050337531,authors/A5050337531,David Roubaud,"Institute of Management Technology, India",23242,230,author,https://orcid.org/0000-0003-3827-6187,authorships.author.id
0,"Grewal, Dhruv",T,HCP,https://openalex.org/A5076693618,authors/A5076693618,Dhruv Grewal,"Boston University, USA",59914,357,author,https://orcid.org/0000-0002-7046-6063,authorships.author.id
1,"Naeem, Muhammad Abubakr",T,HCP,https://openalex.org/A5039331964,authors/A5039331964,Muhammad Abubakr Naeem,,11547,255,author,https://orcid.org/0000-0001-6962-3175,authorships.author.id
