unit_idx,unit_type,name,issn,field_eb,country_code,a_p,v_EBAX,rank_EBAX,v_E,rank_E,v_B,rank_B,v_A,rank_A,v_X,rank_X,v_eps1,rank_eps1,ext_balance
23254222,source,American Economic Review,0002-8282,E,,484,16.7379,1,15.6697,2,,779,,127,,54,7.20219,1,0.915959
1341575764,institution,Federal Reserve Bank of Minneapolis,,,US,44.3056,20.8922,1,20.2104,1,3.07989,63,,1743,,1658,9.20469,1,0.920414
1321305853,institution,National Bureau of Economic Research,,,US,302.119,12.6571,2,12.2197,2,7.25877,1,12.956,7,0.495904,1199,5.64303,2,0.844975
203860005,source,The Quarterly Journal of Economics,0033-5533,E,,208,16.3774,2,15.6886,1,,779,,127,,54,6.93547,2,0.829402
95464858,source,Econometrica,0012-9682,E,,324,13.4937,3,13.1713,3,,779,,127,,54,5.04612,5,0.907302
1279858714,institution,Center for Economic and Policy Research,,,US,203.24,9.91895,3,9.07868,3,3.8697,31,11.2613,11,0.194682,1479,4.89702,4,0.82021
5353659,source,The Journal of Finance,0022-1082,E,,188,10.4119,4,7.66249,7,,779,,127,,54,5.13739,4,0.910562
40347166,institution,University of Chicago,,,US,550.117,8.29716,4,8.80157,6,4.62092,16,6.06807,39,0.45501,1244,4.14546,7,0.800762
142990027,source,Journal of Marketing,0022-2429,B,,42,9.36169,5,,580,9.98697,1,,127,,54,5.6979,3,0.867632
97018004,institution,Stanford University,,,US,507.41,7.36703,5,7.02614,10,5.91492,3,8.72204,16,0.418535,1281,3.75158,8,0.714653
127708089,source,Journal of Economic Literature,0022-0515,E,,142,9.24134,6,8.6533,5,,779,,127,,54,4.41828,7,0.698198
20089843,institution,Princeton University,,,US,284.945,7.11044,6,7.75065,8,0.948579,637,4.53485,57,0.332865,1356,2.96873,23,0.712168
154570441,institution,"University of California, Santa Barbara",,,US,145.22,7.01629,7,8.96067,5,1.72893,225,,1743,0.148587,1519,2.9858,20,0.637147
