source_name,era_journal_name,works_count,density,top_field,top_subfield
International Journal of Academic Research in Business and Social Sciences,International Journal of Academic Research in Business and Social Sciences,14578,0.332,Social Sciences,Education
Industrial and Labor Relations Review,Industrial and Labor Relations Review,14495,0.176,Social Sciences,Public Administration
Revue économique,Revue Economique,11393,0.351,Social Sciences,Urban Studies
Jahrbücher für Nationalökonomie und Statistik,Jahrbucher fur Nationalokonomie und Statistik,9062,0.337,Social Sciences,Political Science and International Relations
Transportation research procedia,Transportation Research Procedia,7980,0.0,Social Sciences,Transportation
Journal of Economic Behavior & Organization,Journal of Economic Behavior and Organization,7482,0.167,Social Sciences,Safety Research
Tourism Management,"Tourism Management: research, policies, practice",6385,0.096,Social Sciences,Sociology and Political Science
Relations industrielles,Industrial Relations,6326,0.0,Social Sciences,Public Administration
Sociologie du Travail,Sociologie du Travail,5798,0.0,Social Sciences,Sociology and Political Science
Games and Economic Behavior,Games and Economic Behavior,4192,0.347,Decision Sciences,Management Science and Operations Research
Agricultural Economics,Agricultural Economics,4053,0.359,Agricultural and Biological Sciences,General Agricultural and Biological Sciences
Transportation Research Part E Logistics and Transportation Review,Transportation Research Part E: Logistics and Transportation Review,3998,0.182,Social Sciences,Transportation
Revista de Administração de Empresas,RAE-Revista de Administracao de Empresas,3731,0.169,Decision Sciences,Information Systems and Management
L Actualité économique,Actualite Economique,3628,0.321,Social Sciences,Sociology and Political Science
Information Technology Journal,Information Technology Journal,3605,0.0,Computer Science,Computer Networks and Communications
Journal of Agricultural Economics,Journal of Agricultural Economics,3368,0.304,Agricultural and Biological Sciences,General Agricultural and Biological Sciences
British Journal of Healthcare Management,British Journal of Health Care Management,3336,0.217,Health Professions,General Health Professions
Journal of Occupational Health,Journal of Occupational Health,3327,0.0,Health Professions,General Health Professions
Economics of Education Review,Economics of Education Review,3278,0.176,Social Sciences,Education
Problemas del Desarrollo Revista Latinoamericana de Economía,Problemas del Desarrollo: revista latinoamericana de economia,3172,0.292,"Economics, Econometrics and Finance","General Economics, Econometrics and Finance"
Papeles de economía española/Papeles de economía española,Papeles de Economia Espanola,3164,0.15,Environmental Science,"Management, Monitoring, Policy and Law"
Nationaløkonomisk tidsskrift,Nationalokonomisk Tidsskrift,3107,0.156,Social Sciences,Political Science and International Relations
Journal of Management in Engineering,Journal of Management in Engineering,2900,0.069,Decision Sciences,Management Science and Operations Research
Disasters,"Disasters: the journal of disaster studies, policy and management",2799,0.0,Social Sciences,Sociology and Political Science
Transportation,Transportation,2546,0.095,Social Sciences,Transportation
Industrial Relations A Journal of Economy and Society,Industrial Relations: a journal of economy and society,2428,0.222,Social Sciences,Public Administration
Revue d’études comparatives Est-Ouest,Revue d'Etudes Comparatives Est-Ouest: economies et techniques de planification - droit et sciences sociales,2402,0.155,Social Sciences,Political Science and International Relations
Industrial Relations Journal,Industrial Relations Journal,2354,0.0,Social Sciences,Public Administration
Journal of the Eastern Asia Society for transportation studies/Journal of the Eastern Asia Society for Transportation Studies,Journal of the Eastern Asia Society for Transportation Studies,2210,0.0,Social Sciences,Transportation
Agrekon,"Agrekon: Agricultural Economics Research, Policy and Practice in Southern Africa",2144,0.124,Agricultural and Biological Sciences,General Agricultural and Biological Sciences
Tourism Economics,Tourism Economics: the business and finance of tourism and recreation,2071,0.235,Social Sciences,Sociology and Political Science
International Journal of Tourism Research,International Journal of Tourism Research,2037,0.087,Social Sciences,Sociology and Political Science
Journal of Leisure Research,Journal of Leisure Research,2005,0.085,Psychology,Social Psychology
Employee Relations,Employee Relations,2002,0.242,Social Sciences,Public Administration
Journal of Travel & Tourism Marketing,Journal of Travel and Tourism Marketing,1934,0.354,Social Sciences,Sociology and Political Science
Problems of Economic Transition,Problems of Economic Transition: a journal of translations from Russian,1869,0.102,Social Sciences,Political Science and International Relations
Leisure Sciences,Leisure Sciences,1843,0.084,Psychology,Social Psychology
Monthly labor review,US Bureau of Labor Statistics: Monthly Labor Review,1802,0.23,Health Professions,General Health Professions
Journal of Family and Economic Issues,Journal of Family and Economic Issues,1733,0.213,Social Sciences,Gender Studies
Research in Transportation Economics,Research in Transportation Economics,1728,0.142,Social Sciences,Transportation
Desarrollo Económico,Desarrollo Economico: revista de ciencias sociales,1720,0.245,"Economics, Econometrics and Finance","General Economics, Econometrics and Finance"
The Journal of Socio-Economics,Journal of Behavioral and Experimental Economics,1700,0.334,Social Sciences,Safety Research
Asia Pacific Journal of Tourism Research,Asia Pacific Journal of Tourism Research,1699,0.228,Social Sciences,Sociology and Political Science
Vezetéstudomány / Budapest Management Review,Budapest Management Review,1656,0.156,Social Sciences,"Geography, Planning and Development"
Transport,Transport,1646,0.0,Social Sciences,Transportation
Case Studies on Transport Policy,Case Studies on Transport Policy,1599,0.0,Social Sciences,Transportation
Téoros Revue de recherche en tourisme,Teoros: revue de recherche en tourisme,1571,0.064,Social Sciences,Sociology and Political Science
