source_id,dd_name,incites_name,journal_name,ISSN,Categories
https://openalex.org/S128223704,ECONOMICS AND PHILOSOPHY,ECONOMICS AND PHILOSOPHY,Economics and Philosophy,0266-2671,[]
https://openalex.org/S48312676,MIS QUARTERLY EXECUTIVE,MIS QUARTERLY EXECUTIVE,MIS Quarterly Executive,1540-1960,[]
https://openalex.org/S120253869,REVIEW OF ECONOMICS OF THE HOUSEHOLD,REVIEW OF ECONOMICS OF THE HOUSEHOLD,Review of Economics of the Household,1569-5239,[]
https://openalex.org/S79007945,BUSINESS ETHICS-A EUROPEAN REVIEW,BUSINESS ETHICS-A EUROPEAN REVIEW,Business Ethics A European Review,0962-8770,[]
https://openalex.org/S50758683,REVISTA DE HISTORIA ECONOMICA,REVISTA DE HISTORIA ECONOMICA,Revista de Historia Econ�mica / Journal of Iberian and Latin American Economic History,0212-6109,[]
https://openalex.org/S60370010,JOURNAL OF THE KNOWLEDGE ECONOMY,JOURNAL OF THE KNOWLEDGE ECONOMY,Journal of the Knowledge Economy,1868-7865,[]
https://openalex.org/S1014724869,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,Economic Research-Ekonomska Istra?ivanja,1331-677X,[]
https://openalex.org/S4363607656,INTERNATIONAL JOURNAL OF ARTS MANAGEMENT,INTERNATIONAL JOURNAL OF ARTS MANAGEMENT,International Journal of Arts Management,1480-8986,[]
https://openalex.org/S1041061247,FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,Finance A Uver-czech Journal of Economics and Finance,0015-1920,[]
https://openalex.org/S22315241,FINANZARCHIV,FINANZARCHIV,FinanzArchiv Public Finance Analysis,0015-2218,[]
https://openalex.org/S940947811,SPANISH JOURNAL OF FINANCE AND ACCOUNTING-REVISTA ESPANOLA DE FINANCIACION Y CONTABILIDA,SPANISH JOURNAL OF FINANCE AND ACCOUNTING-REVISTA ESPANOLA DE FINANCIACION Y CONTABILIDA,Revista Espanola De Financiacion Y Contabilidad-spanish Journal of Finance and Accounting,0210-2412,[]
https://openalex.org/S2737251658,LATIN AMERICAN ECONOMIC REVIEW,LATIN AMERICAN ECONOMIC REVIEW,Latin American Economic Review,2196-436X,[]
https://openalex.org/S153975964,INTERNATIONAL JOURNAL OF TRANSPORT ECONOMICS,INTERNATIONAL JOURNAL OF TRANSPORT ECONOMICS,Rivista Internazionale di Economia dei Trasporti,0303-5247,[]
https://openalex.org/S4210202650,ACADEMY OF MANAGEMENT DISCOVERIES,ACADEMY OF MANAGEMENT DISCOVERIES,Academy of Management Discoveries,2168-1007,[]
https://openalex.org/S196034224,MIT SLOAN MANAGEMENT REVIEW,MIT SLOAN MANAGEMENT REVIEW,MIT Sloan management review,1532-8937,[]
https://openalex.org/S4210193058,WORK AGING AND RETIREMENT,WORK AGING AND RETIREMENT,Work Aging and Retirement,2054-4650,[]
https://openalex.org/S3034727917,FINANCIAL INNOVATION,FINANCIAL INNOVATION,Financial Innovation,2199-4730,[]
https://openalex.org/S3593595,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,Australian Journal of Agricultural and Resource Economics,1364-985X,[]
https://openalex.org/S4210191200,APPLIED ECONOMIC ANALYSIS,APPLIED ECONOMIC ANALYSIS,Applied Economic Analysis,2632-7627,[]
https://openalex.org/S185325801,JOURNAL OF KOREA TRADE,JOURNAL OF KOREA TRADE,Journal of Korea Trade,1229-828X,[]
