top_field,top_subfield,sources
Social Sciences,Sociology and Political Science,130
Decision Sciences,Information Systems and Management,51
Social Sciences,Transportation,45
Decision Sciences,Management Science and Operations Research,45
Social Sciences,Political Science and International Relations,43
Social Sciences,Public Administration,41
Engineering,Industrial and Manufacturing Engineering,25
Social Sciences,Gender Studies,20
Psychology,Social Psychology,19
Social Sciences,Safety Research,18
Social Sciences,Communication,18
Health Professions,General Health Professions,16
Social Sciences,Education,14
Mathematics,Statistics and Probability,13
Social Sciences,Urban Studies,13
Social Sciences,Development,12
Agricultural and Biological Sciences,General Agricultural and Biological Sciences,11
Social Sciences,Demography,10
Engineering,"Safety, Risk, Reliability and Quality",9
"Economics, Econometrics and Finance",Economics and Econometrics,9
Neuroscience,Cognitive Neuroscience,8
Computer Science,Information Systems,7
Decision Sciences,General Decision Sciences,7
Environmental Science,"Management, Monitoring, Policy and Law",6
Decision Sciences,"Statistics, Probability and Uncertainty",6
Psychology,Developmental and Educational Psychology,6
Computer Science,Computational Theory and Mathematics,5
Computer Science,Computer Networks and Communications,5
Psychology,Clinical Psychology,5
Computer Science,Artificial Intelligence,5
Environmental Science,Global and Planetary Change,5
Engineering,Control and Systems Engineering,4
Psychology,Applied Psychology,4
Engineering,Ocean Engineering,4
Social Sciences,"Geography, Planning and Development",4
Mathematics,Numerical Analysis,3
Psychology,General Psychology,3
Computer Science,Human-Computer Interaction,3
Social Sciences,Anthropology,3
Energy,General Energy,3
"Business, Management and Accounting",Organizational Behavior and Human Resource Management,3
Agricultural and Biological Sciences,Plant Science,3
Social Sciences,Cultural Studies,3
Arts and Humanities,History and Philosophy of Science,3
"Business, Management and Accounting",Marketing,2
Arts and Humanities,History,2
Engineering,Building and Construction,2
"Business, Management and Accounting",Management Information Systems,2
Energy,"Renewable Energy, Sustainability and the Environment",2
"Economics, Econometrics and Finance","General Economics, Econometrics and Finance",2
Engineering,Aerospace Engineering,2
Arts and Humanities,Literature and Literary Theory,2
"Business, Management and Accounting",Management of Technology and Innovation,2
Social Sciences,Library and Information Sciences,2
"Business, Management and Accounting",Accounting,2
Engineering,Media Technology,2
Social Sciences,Health,2
Computer Science,Signal Processing,2
Mathematics,Mathematical Physics,1
Physics and Astronomy,"Atomic and Molecular Physics, and Optics",1
Medicine,"Public Health, Environmental and Occupational Health",1
"Business, Management and Accounting",Business and International Management,1
Arts and Humanities,Philosophy,1
Engineering,Civil and Structural Engineering,1
Arts and Humanities,Museology,1
Environmental Science,Environmental Engineering,1
Engineering,Automotive Engineering,1
Health Professions,Radiological and Ultrasound Technology,1
Arts and Humanities,Language and Linguistics,1
Computer Science,Hardware and Architecture,1
Engineering,Mechanics of Materials,1
Health Professions,Occupational Therapy,1
Nursing,Research and Theory,1
Physics and Astronomy,Astronomy and Astrophysics,1
"Biochemistry, Genetics and Molecular Biology",Genetics,1
Psychology,Experimental and Cognitive Psychology,1
Agricultural and Biological Sciences,Food Science,1
Health Professions,Speech and Hearing,1
"Biochemistry, Genetics and Molecular Biology",Molecular Biology,1
Dentistry,General Dentistry,1
