oa_source_idx,oa_title,jaro_winkler,registry_title,era_journal_name,harzing_journal_name,wos_journal_name
2738395297,Journal of ETA Maritime Science,1.0,Journal of Eta Maritime Science,,,Journal of Eta Maritime Science
33869021,African Affairs,1.0,African Affairs,,African Affairs,
4306500738,Adoz: revista de estudios de ocio,1.0,ADOZ: Revista de Estudios de Ocio,ADOZ: Revista de Estudios de Ocio,,
78735424,Cognitive Science,1.0,Cognitive Science,,Cognitive Science,
4210230096,Journal of Accounting and Finance,1.0,Journal of Accounting and Finance,Journal of Accounting and Finance,,
4306525641,Region et Developpement,1.0,Region et Developpement,,,Region et Developpement
191007255,International Review of Environmental and Resource Economics,1.0,International Review of Environmental and Resource Economics,,,International Review of Environmental and Resource Economics
2764470529,Journal of Insurance Issues,1.0,Journal of Insurance Issues,,,Journal of Insurance Issues
2764472725,International journal of management and business research,1.0,International Journal of Management and Business Research,International Journal of Management and Business Research,,
2764734414,Middle East Journal of Business,1.0,Middle East Journal of Business,Middle East Journal of Business,,
53429330,Stress and Health,1.0,Stress and Health,,Stress and Health,
59628311,Behavioral and Brain Sciences,1.0,Behavioral and Brain Sciences,,Behavioral and Brain Sciences,
4210175690,Accounting,1.0,Accounting,Accounting,,
4306527555,Revista Internacional Administracion & Finanzas,1.0,Revista Internacional Administracion & Finanzas,Revista Internacional Administracion & Finanzas,,
2765035765,Korea and the World Economy,1.0,Korea and the World Economy,Korea and the World Economy,,
208089930,Sociologie du Travail,1.0,Sociologie du Travail,Sociologie du Travail,,
25370267,Journal of Policy Analysis and Management,1.0,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,,,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT
4210196821,International Journal of Finance,1.0,International Journal of Finance,International Journal of Finance,,
4306522742,Politica economica,1.0,Politica Economica,,,Politica Economica
4306508671,Economic and Financial Review,1.0,Economic and Financial Review,Economic and Financial Review,,
2736975137,Journal of Indonesian Economy and Business,1.0,Journal of Indonesian Economy and Business,Journal of Indonesian Economy and Business,,
4210227866,International Journal of Banking and Finance,1.0,International Journal of Banking and Finance,International Journal of Banking and Finance,,
4210194146,Journal of health economics and outcomes research,1.0,Journal of Health Economics and Outcomes Research,,,Journal of Health Economics and Outcomes Research
161248890,Risk Analysis,1.0,Risk Analysis,,Risk Analysis,
88198767,Cognition,1.0,Cognition,,Cognition,
12175909,International Journal of Public Opinion Research,1.0,International Journal of Public Opinion Research,,International Journal of Public Opinion Research,
114020440,Current Directions in Psychological Science,1.0,Current Directions in Psychological Science,,Current Directions in Psychological Science,
4306526010,Review of Business,1.0,Review of Business,Review of Business,,Review of Business
4306519134,Maliye Dergisi,1.0,Maliye Dergisi,,,Maliye Dergisi
2764921377,Journal for Quality and Participation,1.0,Journal for Quality and Participation,Journal for Quality and Participation,,
