,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,external_id
3,"Gupta, Rangan",T,HCP,https://openalex.org/A5015669404,authors/A5015669404,Rangan Gupta,"University of Pretoria, South Africa",29959.0,1571.0,
0,"Lee, Chien-Chiang",T,HCP,https://openalex.org/A5048052041,authors/A5048052041,Chien‐Chiang Lee,"Nanchang University, China",37456.0,618.0,https://orcid.org/0000-0003-0037-4347
0,"Bouri, Elie",T,HCP,https://openalex.org/A5071230295,authors/A5071230295,Elie Bouri,"Holy Spirit University of Kaslik, Lebanon",26454.0,466.0,https://orcid.org/0000-0003-2628-5027
1,"Tiwari, Aviral Kumar",T,HCP,https://openalex.org/A5062136150,authors/A5062136150,Aviral Kumar Tiwari,"Magadh University, India",22981.0,712.0,https://orcid.org/0000-0002-1822-9263
1,Xuan Vinh Vo,T,HCP,https://openalex.org/A5001100407,authors/A5001100407,Xuan Vinh Vo,University of Economics and Law,15891.0,383.0,https://orcid.org/0000-0002-3868-8176
1,"Kong, Dongmin",T,HCP,https://openalex.org/A5056520084,authors/A5056520084,Dongmin Kong,"Huazhong University of Science and Technology, China",6464.0,247.0,https://orcid.org/0000-0001-5981-0452
0,"Kraus, Sascha",T,HCP,https://openalex.org/A5055158022,authors/A5055158022,Sascha Kraus,"University of Siegen, Germany",40227.0,586.0,https://orcid.org/0000-0003-4886-7482
0,"Goodell, John W.",T,HCP,https://openalex.org/A5025970919,authors/A5025970919,John W. Goodell,"University of Akron, USA",11590.0,300.0,https://orcid.org/0000-0003-4126-9244
0,"Lin, Boqiang",T,HCP,https://openalex.org/A5003679114,authors/A5003679114,Boqiang Lin,"Xiamen University, China",53690.0,991.0,https://orcid.org/0000-0002-1308-400X
0,"Lucey, Brian M.",C,ERC,https://openalex.org/A5010285399,authors/A5010285399,Brian M. Lucey,"Trinity College Dublin, Ireland",28383.0,696.0,https://orcid.org/0000-0002-4052-8235
0,"Hammoudeh, Shawkat",T,HCP,https://openalex.org/A5038883380,authors/A5038883380,Shawkat Hammoudeh,"University of Economics Ho Chi Minh City, Viet Nam",20867.0,427.0,https://orcid.org/0000-0002-5455-5453
1,"Ji, Qiang",T,HCP,https://openalex.org/A5083070771,authors/A5083070771,Qiang Ji,"Zigong First People's Hospital, China",21788.0,367.0,https://orcid.org/0000-0002-3502-5254
2,"Ma, Feng",T,HCP,https://openalex.org/A5024131822,authors/A5024131822,Feng Ma,"Academy of Medical Sciences, UK",7529.0,159.0,https://orcid.org/0000-0002-2975-0118
2,"Shahbaz, Muhammad",T,HCP,https://openalex.org/A5052033177,authors/A5052033177,Muhammad Shahbaz,,59273.0,863.0,https://orcid.org/0000-0003-4916-7648
2,"Kang, Sang Hoon",T,HCP,https://openalex.org/A5101545219,authors/A5101545219,Sang Hoon Kang,"University of South Australia, Australia",8511.0,239.0,https://orcid.org/0000-0002-1236-136X
0,"Smyth, Russell",T,HCP,https://openalex.org/A5087969968,authors/A5087969968,Russell Smyth,"Monash University, Australia",24693.0,802.0,https://orcid.org/0000-0001-6593-5462
0,"Uddin, Gazi Salah",T,HCP,https://openalex.org/A5019480291,authors/A5019480291,Gazi Salah Uddin,"Linköping University, Sweden",10985.0,370.0,https://orcid.org/0000-0002-5744-0192
0,"Corbet, Shaen",T,HCP,https://openalex.org/A5019834648,authors/A5019834648,Shaen Corbet,"Dublin City University, Ireland",12384.0,405.0,https://orcid.org/0000-0001-7430-7417
0,"Managi, Shunsuke",T,HCP,https://openalex.org/A5035555297,authors/A5035555297,Shunsuke Managi,"University of Bonn, Germany",22064.0,1020.0,https://orcid.org/0000-0001-7883-1427
0,"Apergis, Nicholas",T,HCP,https://openalex.org/A5108034146,authors/A5108034146,Nicholas Apergis,"University of Piraeus, Greece",26214.0,584.0,https://orcid.org/0000-0002-7433-2871
0,"Audretsch, David B.",T,HCP,https://openalex.org/A5078117070,authors/A5078117070,David B. Audretsch,"Indiana University Bloomington, USA",75282.0,1043.0,https://orcid.org/0000-0002-3815-7762
3,"Chang, Chun-Ping",T,HCP,https://openalex.org/A5053491075,authors/A5053491075,Chun‐Ping Chang,"Shih Chien University, Taiwan, Province of China",13654.0,328.0,https://orcid.org/0000-0003-1782-4551
0,"Shahzad, Syed Jawad Hussain",T,HCP,https://openalex.org/A5021804779,authors/A5021804779,Syed Jawad Hussain Shahzad,"Montpellier Business School, France",16352.0,303.0,https://orcid.org/0000-0003-3511-6057
0,"Vrontis, Demetris",T,HCP,https://openalex.org/A5040844824,authors/A5040844824,Demetris Vrontis,"University of Nicosia, Cyprus",20986.0,767.0,https://orcid.org/0000-0001-7570-6241
0,"Wang, Shouyang",T,HCP,https://openalex.org/A5078558986,authors/A5078558986,Shouyang Wang,"Chinese Academy of Social Sciences, China",39541.0,1341.0,https://orcid.org/0000-0001-5773-998X
