journal,source_id,journal_name,ISSN,verified
QUARTERLY JOURNAL OF ECONOMICS,https://openalex.org/S77368557,Health and Quality of Life Outcomes,1477-7525,True
AMERICAN ECONOMIC REVIEW,https://openalex.org/S4210214101,Healthcare,2227-9032,True
ACADEMY OF MANAGEMENT ANNALS,https://openalex.org/S2596093566,Frontiers in Communication,2297-900X,True
NBER MACROECONOMICS ANNUAL,https://openalex.org/S127060114,NBER Macroeconomics Annual,0889-3365,True
ADMINISTRATIVE SCIENCE QUARTERLY,https://openalex.org/S143668711,Administrative Science Quarterly,0001-8392,True
REVIEW OF ECONOMIC STUDIES,https://openalex.org/S77368557,Health and Quality of Life Outcomes,1477-7525,True
JOURNAL OF POLITICAL ECONOMY,https://openalex.org/S95323914,Journal of Political Economy,0022-3808,True
ECONOMETRICA,https://openalex.org/S4210214101,Healthcare,2227-9032,True
JOURNAL OF FINANCE,https://openalex.org/S5353659,The Journal of Finance,0022-1082,True
AMERICAN ECONOMIC REVIEW-INSIGHTS,https://openalex.org/S4210174288,American Economic Review Insights,2640-205X,True
ACADEMY OF MANAGEMENT JOURNAL,https://openalex.org/S71324801,Forests,1999-4907,True
JOURNAL OF ECONOMIC LITERATURE,https://openalex.org/S127708089,Journal of Economic Literature,0022-0515,True
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,https://openalex.org/S130273055,Diversity,1424-2818,True
AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,https://openalex.org/S4210207172,FORMATH,2188-5729,True
REVIEW OF FINANCIAL STUDIES,https://openalex.org/S59607649,Latin American Research Review,1542-4278,True
ACADEMY OF MANAGEMENT REVIEW,https://openalex.org/S4210214101,Healthcare,2227-9032,True
ANNUAL REVIEW OF ECONOMICS,https://openalex.org/S4210235149,Frontiers in Sustainable Cities,2624-9634,True
JOURNAL OF FINANCIAL ECONOMICS,https://openalex.org/S71324801,Forests,1999-4907,True
STRATEGIC MANAGEMENT JOURNAL,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
JOURNAL OF MARKETING,https://openalex.org/S2738397068,Land,2073-445X,True
JOURNAL OF ECONOMIC PERSPECTIVES,https://openalex.org/S4210178346,Frontiers in Forests and Global Change,2624-893X,True
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,https://openalex.org/S4210173904,Brookings Papers on Economic Activity,0007-2303,True
JOURNAL OF MANAGEMENT,https://openalex.org/S77368557,Health and Quality of Life Outcomes,1477-7525,True
AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,https://openalex.org/S4210232579,Internet Interventions,2214-7829,True
ACADEMY OF MANAGEMENT PERSPECTIVES,https://openalex.org/S4210232579,Internet Interventions,2214-7829,True
ORGANIZATION SCIENCE,https://openalex.org/S2738397068,Land,2073-445X,True
JOURNAL OF ACCOUNTING & ECONOMICS,https://openalex.org/S62142384,Journal of Accounting and Economics,0165-4101,True
ACADEMY OF MANAGEMENT DISCOVERIES,https://openalex.org/S4210202650,Academy of Management Discoveries,2168-1007,True
JOURNAL OF MANAGEMENT STUDIES,https://openalex.org/S151705444,Journal of Management Studies,0022-2380,True
JOURNAL OF LABOR ECONOMICS,https://openalex.org/S2737254583,Journal of Pharmaceutical Policy and Practice,2052-3211,True
REVIEW OF ECONOMICS AND STATISTICS,https://openalex.org/S3034372847,Agricultural and Food Economics,2193-7532,True
JOURNAL OF ACCOUNTING RESEARCH,https://openalex.org/S111116695,Journal of Accounting Research,0021-8456,True
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,https://openalex.org/S25370267,Journal of Policy Analysis and Management,1520-6688,True
JOURNAL OF BUSINESS VENTURING,https://openalex.org/S66201313,Journal of Business Venturing,0883-9026,True
STRATEGIC ENTREPRENEURSHIP JOURNAL,https://openalex.org/S31690342,Strategic Entrepreneurship Journal,1932-4391,True
