run_code,tc0,tc1,tt0,tt1,fx,tau_u,tau_s,rho,m,chi,alpha,mu_type,label,stage
20242024,2020,2024,2020,2024,A,20,20,0,0110,0.5,1.0,,baseline,1
20242024,2020,2024,2020,2024,E,20,20,0,0110,0.5,1.0,,F=E,1
20242024,2020,2024,2020,2024,B,20,20,0,0110,0.5,1.0,,F=B,1
20242024,2020,2024,2020,2024,EB,20,20,0,0110,0.5,1.0,,F=EB,1
20242024,2020,2024,2020,2024,NEB,20,20,0,0110,0.5,1.0,,F=NEB,1
20242024,2020,2024,2020,2024,A,20,20,0,1000,0.5,1.0,,SS-only,1
20242024,2020,2024,2020,2024,A,20,20,0,0001,0.5,1.0,,II-only,1
20242024,2020,2024,2020,2024,A,20,20,0,1111,0.5,1.0,,full-joint,1
20242024,2020,2024,2020,2024,A,20,20,0,1111,-1,1.0,,full-joint-chi-star,1
20242024,2020,2024,2020,2024,A,40,40,0,0110,0.5,1.0,,tau40,1
20242024,2020,2024,2020,2024,A,20,20,1,0110,0.5,1.0,,rho1,1
00040004,2000,2004,2000,2004,A,20,20,0,0110,0.5,1.0,,t1,2
05090509,2005,2009,2005,2009,A,20,20,0,0110,0.5,1.0,,t2,2
10141014,2010,2014,2010,2014,A,20,20,0,0110,0.5,1.0,,t3,2
15191519,2015,2019,2015,2019,A,20,20,0,0110,0.5,1.0,,t4,2
