cited_source,Business Horizons,Business Strategy and the Environment,Corporate Social Responsibility and Environmental Management,Economic Analysis and Policy,Energy Economics,Finance research letters,Financial Innovation,International Journal of Consumer Studies,International Journal of Operations & Production Management,International Journal of Physical Distribution & Logistics Management,International Journal of Production Economics,International Review of Financial Analysis,Journal of Hospitality Marketing & Management,Journal of Innovation & Knowledge,Journal of International Financial Markets Institutions and Money,Journal of Knowledge Management,Journal of Product Innovation Management,Journal of Research in Interactive Marketing,Journal of Retailing and Consumer Services,Research in International Business and Finance,Review of Managerial Science,Supply Chain Management An International Journal,Technological Forecasting and Social Change,Technovation,The British Accounting Review
Business Horizons,0.0,1.1795,0.3333,0.2821,0.1282,0.6923,0.4872,0.5385,0.2308,0.2051,1.0,0.4615,0.1282,0.641,0.0513,0.5128,0.2564,0.4359,1.5897,0.641,0.5897,0.5897,3.8974,1.0256,0.0
Business Strategy and the Environment,0.0061,0.0,6.5828,0.6074,0.8589,1.1227,0.0307,0.0798,0.1963,0.0368,0.5767,1.0061,0.0675,0.4847,0.1595,0.5276,0.0982,0.0061,0.092,0.6564,0.3988,0.227,2.0552,0.4172,0.1288
Corporate Social Responsibility and Environmental Management,0.0,6.0897,0.0,0.2949,0.5,1.1154,0.0513,0.0,0.0897,0.0128,0.2821,0.6667,0.1154,0.3718,0.1026,0.359,0.0128,0.0,0.1154,0.9487,0.4231,0.0128,1.0513,0.1795,0.0641
Economic Analysis and Policy,0.0,0.4237,0.5085,0.0,3.0339,2.7966,0.2712,0.0,0.0,0.0,0.0847,1.7627,0.0,0.0169,0.322,0.0169,0.0169,0.0,0.0339,0.7627,0.0,0.0169,0.9492,0.0678,0.0508
Energy Economics,0.0,0.7326,0.4167,2.7812,0.0,2.9931,0.4653,0.0,0.0104,0.0,0.0486,3.1632,0.0,0.1354,0.5486,0.0035,0.0104,0.0035,0.0208,1.8056,0.0069,0.0,2.3021,0.0243,0.1076
Finance research letters,0.0211,0.4683,0.4965,1.2359,2.6866,0.0,1.7359,0.0141,0.0106,0.0,0.0528,4.5528,0.0,0.1373,1.493,0.0141,0.0,0.0035,0.0317,5.493,0.0352,0.0035,1.3134,0.0106,0.0845
Financial Innovation,0.0,0.1739,0.0435,0.3913,1.4348,2.1304,0.0,0.0435,0.0,0.0,0.1304,1.7826,0.0,0.1304,0.4783,0.0,0.0435,0.0,0.1304,1.4783,0.0435,0.1304,0.7391,0.087,0.0
International Journal of Consumer Studies,0.125,1.0625,0.125,0.0,0.0312,0.1562,0.0312,0.0,0.0,0.125,0.0312,0.1562,0.2188,0.125,0.0,0.25,0.0312,0.6875,3.2188,0.3438,0.2812,0.0,1.7188,0.1875,0.0
International Journal of Operations & Production Management,0.0256,1.9231,0.4872,0.0769,0.1026,0.1026,0.0,0.1282,0.0,1.641,6.6154,0.1282,0.0,0.3077,0.0,0.2308,0.2051,0.0513,0.1538,0.0513,0.2308,3.7949,2.4359,1.3077,0.0
International Journal of Physical Distribution & Logistics Management,0.1176,3.2353,0.4118,0.0588,0.1765,0.1765,0.0588,0.2353,5.0588,0.0,6.2941,0.1176,0.0,0.2941,0.0,0.1765,0.0,0.0,1.3529,0.2353,0.3529,7.4706,1.2941,0.2941,0.0
