work_idx,source_idx,source_name,publication_year,title,n_intra,v_host,n_referencers,v_median,v_p80,v_p90,v_p95,v_p99,ratio_p95
2097344205,23254222,American Economic Review,2016,Government Size and Economic Growth: A New Framework and Some Evidence from Cross-Section and Time-Series Data,132,15.3248,122,0.3522,0.7651,0.9397,1.1024,4.0516,0.0719
4221040930,23254222,American Economic Review,2022,Measuring Geopolitical Risk,684,15.3248,674,0.6879,1.0542,1.1342,1.4479,3.5488,0.0945
1492662576,23254222,American Economic Review,2016,"Productivity Growth, Technical Progress, and Efficiency Change in Industrialized Countries",1215,15.3248,1111,0.5600,0.9978,1.3322,1.5613,3.0532,0.1019
4392295937,23254222,American Economic Review,2024,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,23,15.3248,23,0.8794,1.1580,1.6333,1.7086,1.7086,0.1115
1542047202,23254222,American Economic Review,2016,The Effect of the EEC and BETA on European Trade: A Temporal Cross-Section Analysis,122,15.3248,102,0.4592,0.8163,1.5117,1.8715,3.5488,0.1221
3123379352,149240962,Journal of Financial Economics,2024,"When the markets get CO.V.I.D: COntagion, Viruses, and Information Diffusion",11,8.1577,11,0.5866,0.7091,1.0915,1.2268,1.3351,0.1504
4396512506,23254222,American Economic Review,2024,Resisting Social Pressure in the Household Using Mobile Money: Experimental Evidence on Microenterprise Investment in Uganda,6,15.3248,5,0.8797,2.1785,2.3407,2.4217,2.4866,0.1580
4398763316,170137484,Review of Financial Studies,2024,The Bright Side of Political Uncertainty: The Case of R&amp;D,6,7.1339,6,0.6149,0.6879,1.0202,1.1863,1.3192,0.1663
1593372571,23254222,American Economic Review,2016,Two-Moment Decision Models and Expected Utility Maximization,173,15.3248,156,0.7902,1.3322,2.0536,2.5620,3.7887,0.1672
2105358198,23254222,American Economic Review,2015,Macroeconomic Uncertainty Indices Based on Nowcast and Forecast Error Distributions,147,15.3248,143,0.6400,1.4479,1.5998,2.5984,7.9036,0.1696
2080823642,23254222,American Economic Review,2015,Human Capital and Growth,271,15.3248,246,0.5370,1.0120,1.6001,2.7259,15.3248,0.1779
4389371431,199447588,Journal of Public Economics,2023,Centralization and regulatory enforcement: Evidence from personnel authority reform in China,66,4.5011,66,0.7091,0.7529,0.8215,0.8215,1.3828,0.1825
3199715721,149240962,Journal of Financial Economics,2021,Sustainable investing with ESG rating uncertainty,252,8.1577,247,0.7091,0.9951,1.1905,1.5594,6.5152,0.1912
3191538369,170137484,Review of Financial Studies,2021,COVID-19 and Its Impact on Financial Markets and the Real Economy,58,7.1339,57,0.6879,0.9969,1.1342,1.3938,4.6500,0.1954
2901342529,23254222,American Economic Review,2020,Arrival of Young Talent: The Send-Down Movement and Rural Education in China,83,15.3248,83,0.7529,1.1342,1.6891,2.9977,5.2139,0.1956
4392561586,127708089,Journal of Economic Literature,2024,As Gods Among Men: A History of the Rich in the West,7,8.4610,7,1.3487,1.4802,1.5966,1.6591,1.7092,0.1961
3148575479,170166683,American Economic Journal Macroeconomics,2023,"The Effect of Population Aging on Economic Growth, the Labor Force, and Productivity",33,6.4040,31,0.4235,0.7529,0.8215,1.2778,1.9807,0.1995
