cited_source,Business Strategy and the Environment,Corporate Social Responsibility and Environmental Management,Economic Analysis and Policy,Energy Economics,Energy RESEARCH LETTERS,Finance research letters,Financial Innovation,Innovation and Green Development,International Journal of Physical Distribution & Logistics Management,International Review of Financial Analysis,Journal of Innovation & Knowledge,Journal of International Financial Management and Accounting,Journal of International Financial Markets Institutions and Money,Journal of Retailing and Consumer Services,Research in International Business and Finance,Resources Policy,Review of Managerial Science,Supply Chain Management An International Journal,Sustainable Technology and Entrepreneurship,Technological Forecasting and Social Change,Technovation,The British Accounting Review
Business Strategy and the Environment,0.0,3.9689,0.2694,0.4249,0.0,0.3834,0.0415,0.1606,0.0518,0.2694,0.2487,0.057,0.0725,0.0777,0.2487,0.7409,0.1917,0.1606,0.0363,1.5285,0.3316,0.0829
Corporate Social Responsibility and Environmental Management,4.4359,0.0,0.1026,0.1923,0.0,0.6154,0.0256,0.1154,0.0256,0.3205,0.1795,0.1154,0.0769,0.0641,0.4615,0.3205,0.2308,0.0,0.0897,0.8077,0.1538,0.0128
Economic Analysis and Policy,0.2143,0.2143,0.0,1.9643,0.125,1.1964,0.2321,0.4643,0.0,0.5714,0.0357,0.0179,0.2857,0.0179,0.3571,5.0357,0.0,0.0,0.0,0.5893,0.0714,0.0
Energy Economics,0.4438,0.2281,1.5344,0.0,0.1156,1.7188,0.2562,0.2125,0.0,1.9312,0.0781,0.0156,0.4375,0.0,0.8844,7.0938,0.0062,0.0031,0.0062,1.7688,0.0188,0.0188
Energy RESEARCH LETTERS,0.0909,0.0,12.9091,13.1818,0.0,3.2727,2.6364,0.0,0.0,2.3636,0.0909,0.0,0.9091,0.0,1.4545,7.8182,0.0,0.0,0.0,0.7273,0.0,0.0
Finance research letters,0.2481,0.2713,0.9574,2.0853,0.0736,0.0,1.1705,0.0426,0.0,3.3915,0.0426,0.0969,1.3837,0.0271,4.3605,3.3605,0.031,0.0039,0.0,1.1163,0.0078,0.0465
Financial Innovation,0.15,0.05,0.4,1.05,0.05,1.8,0.0,0.1,0.0,1.05,0.15,0.0,0.35,0.05,1.05,1.8,0.05,0.15,0.0,0.75,0.1,0.0
Innovation and Green Development,0.4444,0.4444,0.5556,0.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,0.0,0.0,0.0,0.1111,0.0,0.0
International Journal of Physical Distribution & Logistics Management,2.1429,0.2857,0.0,0.0,0.0,0.0,0.0476,0.0,0.0,0.0476,0.0952,0.0,0.0,0.9048,0.1429,0.1429,0.1429,6.0,0.0476,0.9524,0.1905,0.0
International Review of Financial Analysis,0.2671,0.2733,0.7143,3.354,0.0994,4.5404,1.1118,0.0248,0.0,0.0,0.087,0.0807,1.4286,0.0062,2.5714,4.1615,0.0248,0.0,0.0,0.7453,0.0,0.0497
Journal of Innovation & Knowledge,0.6792,0.2642,0.1509,0.1132,0.0,0.434,0.0189,0.0755,0.0189,0.1509,0.0,0.0,0.0566,0.0189,0.0189,1.1321,0.3396,0.0189,0.1321,1.9057,0.2075,0.0
Journal of International Financial Management and Accounting,0.7778,1.1111,0.4444,0.8889,0.0,1.2222,0.1111,0.0,0.0,1.4444,0.1111,0.0,0.2222,0.0,2.2222,0.0,0.2222,0.0,0.0,0.1111,0.0,0.2222
Journal of International Financial Markets Institutions and Money,0.2105,0.3158,0.6316,3.7105,0.1053,5.8947,1.3684,0.0263,0.0,4.4474,0.1053,0.0789,0.0,0.0263,3.8421,3.1579,0.1316,0.0,0.0263,0.8684,0.0263,0.1316
Journal of Retailing and Consumer Services,0.6059,0.1471,0.0294,0.0118,0.0,0.0059,0.0353,0.0,0.1,0.0118,0.1059,0.0,0.0,0.0,0.0235,0.0118,0.0529,0.0118,0.0235,1.3647,0.1412,0.0
Research in International Business and Finance,0.2632,0.2807,0.7018,1.5088,0.0702,3.7193,0.8421,0.0526,0.0,2.2632,0.0351,0.0526,0.8246,0.0,0.0,1.7719,0.1053,0.0,0.0351,1.0877,0.0,0.0
Resources Policy,0.0723,0.0426,0.6638,1.6851,0.0213,0.7021,0.1787,0.0638,0.0043,0.4638,0.0553,0.0043,0.1277,0.0128,0.3915,0.0,0.0043,0.0,0.0085,0.6043,0.0043,0.0
Review of Managerial Science,0.5385,0.5385,0.0,0.0,0.0,0.0769,0.0769,0.0,0.0385,0.1154,0.7308,0.0385,0.0,0.0385,0.1538,0.0385,0.0,0.0385,0.0385,2.7308,1.0,0.0
Supply Chain Management An International Journal,2.6552,0.5862,0.0,0.0,0.0,0.0345,0.069,0.0,2.0345,0.0,0.3448,0.0,0.0,0.069,0.1379,0.1724,0.1034,0.0,0.0,2.2069,0.2414,0.1034
Sustainable Technology and Entrepreneurship,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,4.75,0.0,0.0
Technological Forecasting and Social Change,1.3973,0.5556,0.633,1.367,0.0101,0.6162,0.1212,0.1515,0.1414,0.3502,0.4141,0.0135,0.101,0.3131,0.3771,2.2458,0.3771,0.1987,0.0303,0.0,1.1684,0.0168
Technovation,0.6909,0.3273,0.1455,0.1455,0.0,0.2,0.0909,0.0727,0.0727,0.0545,0.6,0.0,0.0,0.1273,0.0909,0.1091,0.6364,0.2545,0.0364,5.0364,0.0,0.0182
The British Accounting Review,10.0909,7.0,0.0909,0.8182,0.0455,2.0,0.2273,0.0455,0.0,2.2727,0.2273,0.2273,0.7727,0.0,1.5909,0.2727,0.4545,0.0,0.0455,1.0909,0.0455,0.0
