source_name,subfield_name,field_eb,v,n_works,n_hcw,propensity,propensity_fitted,residual_sd,flagged,enclave_source
Academy of Management Annals,Organizational Behavior and Human Resource Management,B,7.5836037506162155,267,59,0.2209737827715356,0.06472039307297142,11.4688468776127,True,False
Journal of Innovation & Knowledge,Strategy and Management,B,0.6765963772228256,627,53,0.08452950558213716,0.0021413495868256934,6.047210543476476,True,True
Journal of the Academy of Marketing Science,Marketing,B,2.544079965407299,636,71,0.11163522012578617,0.03018465710051866,5.978392131103442,True,False
Business Strategy and the Environment,Marketing,B,1.1905188717470765,2044,163,0.07974559686888454,0.008094304030277782,5.259135227301373,True,True
International Review of Financial Analysis,Accounting,A,0.8215194543021412,2671,193,0.07225758143017597,0.0029289468520875355,5.088654369316173,True,True
Journal of Retailing and Consumer Services,Marketing,B,1.1382746630539171,2841,212,0.07462161210841253,0.0072367447220789485,4.945983747379782,True,True
Journal of Management,Organizational Behavior and Human Resource Management,B,3.554691398224647,836,89,0.10645933014354067,0.04099793876310646,4.80480247875592,True,False
International Journal of Management Reviews,Strategy and Management,B,2.073249118714899,292,26,0.08904109589041095,0.023685637364356367,4.797027110243709,True,False
The Quarterly Journal of Economics,Economics and Econometrics,E,15.138935069303113,438,66,0.1506849315068493,0.08646347787850853,4.713792253352397,True,False
Journal of International Business Studies,Strategy and Management,B,3.053245684601748,800,80,0.1,0.03613826200082115,4.6873894759259285,True,False
Entrepreneurship Theory and Practice,Management of Technology and Innovation,B,3.3579064467244715,515,50,0.0970873786407767,0.03918423079321506,4.250034752376038,True,False
Energy Economics,Economics and Econometrics,E,1.1341678309965513,4508,288,0.06388642413487133,0.007166781779287771,4.163166599995502,True,True
Journal of Marketing,Management of Technology and Innovation,B,8.430711357183887,546,67,0.1227106227106227,0.06804082483622734,4.012710008154391,True,False
Journal of Business Venturing,Management of Technology and Innovation,B,2.7040968575950357,461,40,0.08676789587852494,0.03220422293226873,4.004920541614986,True,False
Journal of Financial Economics,Accounting,A,8.157744108078386,1340,161,0.12014925373134329,0.06700827029556679,3.9004965148367208,True,False
Technovation,Strategy and Management,B,1.016368103071115,911,53,0.05817782656421515,0.005230280538114442,3.886298397047061,True,True
Finance research letters,Accounting,A,0.7090913443839725,5562,284,0.05106076950737145,0.002285250037267175,3.5800757043274767,True,True
Corporate Social Responsibility and Environmental Management,Strategy and Management,B,0.7906772232417589,1548,78,0.050387596899224806,0.002714719138565237,3.499142874960469,True,True
Technological Forecasting and Social Change,Strategy and Management,B,1.0914544824623746,5162,278,0.053855094924447885,0.006446584745034842,3.479738551543419,True,True
Journal of Retailing,Marketing,B,2.539575642453324,477,36,0.07547169811320754,0.03012696405019877,3.3282593912232756,True,False
California Management Review,Strategy and Management,B,2.071997905611587,280,19,0.06785714285714285,0.023667204676016733,3.243498496309188,True,False
Supply Chain Management An International Journal,Management Information Systems,B,1.0643379542418963,498,25,0.050200803212851405,0.006014511037977388,3.2432308829953214,True,True
Journal of Product Innovation Management,Strategy and Management,B,1.4696145440262605,455,26,0.05714285714285714,0.013292606142119684,3.218565787548878,True,True
Journal of Service Research,Organizational Behavior and Human Resource Management,B,2.6788850013425005,374,28,0.0748663101604278,0.031899614490018005,3.153713685389845,True,False
Business Horizons,Strategy and Management,B,1.0524768956936907,832,39,0.046875,0.00580958534929407,3.014161507172393,True,True
Academy of Management Journal,Organizational Behavior and Human Resource Management,B,4.641216641881614,753,67,0.08897742363877822,0.049381822978308114,2.9062785893994905,True,False
Journal of Accounting Research,Accounting,A,4.587066392122035,374,33,0.08823529411764706,0.04901482706344249,2.878744147444625,True,False
Journal of service management,Organizational Behavior and Human Resource Management,B,1.8718326154141416,420,25,0.05952380952380952,0.0204612313265263,2.867155258863036,True,False
Strategic Management Journal,Strategy and Management,B,5.001966925167896,1132,102,0.09010600706713781,0.051719914067467926,2.8175019031094983,True,False
Review of Managerial Science,Accounting,B,0.7666621975829915,667,27,0.04047976011994003,0.00256881242621417,2.7826266996403053,True,True
Journal of Business Research,Marketing,B,1.5585029155350159,6834,359,0.05253146034533216,0.014939807010278769,2.7591908041658813,True,False
The British Accounting Review,Accounting,A,0.8608573920216706,490,20,0.04081632653061224,0.0032469094514120038,2.7575586846067264,True,True
Journal of International Financial Markets Institutions and Money,Economics and Econometrics,A,0.7834257890244272,1028,41,0.03988326848249027,0.0026703018429208177,2.7313955689170784,True,True
Research in International Business and Finance,Accounting,A,0.6399562015539207,2111,82,0.038844149692089054,0.001989541342493043,2.7050924188672956,True,True
Journal of Operations Management,Management Information Systems,B,2.134839489700792,441,27,0.061224489795918366,0.02460930981112003,2.6875186096890173,True,False
Economic Analysis and Policy,Economics and Econometrics,E,0.4928680878784952,1557,59,0.03789338471419396,0.0013056292689559276,2.6855056751503623,True,True
Journal of Research in Interactive Marketing,Sociology and Political Science,B,0.9944230950841203,367,15,0.04087193460490463,0.00492486537288029,2.6384799300441566,True,True
The Journal of Economic Perspectives,"General Economics, Econometrics and Finance",E,2.329179554427714,466,29,0.06223175965665236,0.02730920664212009,2.563281435824511,True,False
International Journal of Operations & Production Management,Management Information Systems,B,1.3763937145587082,863,39,0.04519119351100811,0.011497522656284303,2.4730826801452745,True,True
International Journal of Physical Distribution & Logistics Management,Management Information Systems,B,0.8682181353535823,460,17,0.03695652173913044,0.0033227351947003724,2.468687229995647,True,True
Financial Innovation,Economics and Econometrics,A,0.5952960974553524,656,23,0.0350609756097561,0.0018141635111485117,2.440283681930233,True,True
Journal of Corporate Finance,Accounting,A,2.630529038885576,1539,99,0.06432748538011696,0.03130696247057141,2.423674275475638,True,False
Journal of World Business,Strategy and Management,B,2.5367730695501196,577,36,0.06239168110918544,0.03009102130895055,2.3708370231801634,True,False
Journal of Knowledge Management,Communication,B,0.90138749785555,1106,38,0.034358047016274866,0.003698269881954483,2.2503978309437134,True,True
Journal of Management Studies,Organizational Behavior and Human Resource Management,B,2.6978322877131533,830,52,0.06265060240963856,0.03212881552556553,2.2402694807444417,True,False
Journal of Hospitality Marketing & Management,Organizational Behavior and Human Resource Management,B,1.199520542506985,441,17,0.03854875283446712,0.008247405931959745,2.2240894004328555,True,True
Academy of Management Review,Organizational Behavior and Human Resource Management,B,4.71704593220009,527,42,0.07969639468690702,0.04988840822032036,2.187877224134072,True,False
International Journal of Consumer Studies,Marketing,B,1.0690124127772764,903,32,0.035437430786267994,0.006095349876010237,2.1536802093027565,True,True
International Journal of Production Economics,Management Information Systems,B,1.1346520262865871,2964,106,0.03576248313090418,0.007175184632182023,2.0982799141762527,True,True
Industrial Marketing Management,Organizational Behavior and Human Resource Management,B,1.5970461392951645,1852,80,0.04319654427645788,0.015633530626961177,2.023098402162416,True,False
The Journal of Finance,Finance,A,9.580094500286592,899,89,0.09899888765294772,0.07205421105188191,1.9777130640210183,False,False
Strategic Entrepreneurship Journal,Management of Technology and Innovation,B,2.847530924365833,297,18,0.06060606060606061,0.03389009170784373,1.960926141006003,False,False
International Journal of Hospitality Management,Organizational Behavior and Human Resource Management,B,1.2072997992762347,2157,75,0.03477051460361613,0.008385266185004599,1.9366515793648027,False,False
International Review of Economics & Finance,Accounting,A,0.5129731541570299,2738,74,0.02702702702702703,0.001412581480705572,1.8800753979957263,False,False
Small Business Economics,Management of Technology and Innovation,A,1.3619998986046733,1322,48,0.036308623298033284,0.011224031522930746,1.8411846463687793,False,False
The International Journal of Logistics Management,Management Information Systems,B,0.7402734950225623,624,17,0.027243589743589744,0.002432172785924217,1.8211338803786852,False,False
Journal of Family Business Strategy,Organizational Behavior and Human Resource Management,B,1.4579694599203707,295,11,0.03728813559322034,0.013070739610557332,1.7775333183842426,False,False
International Journal of Contemporary Hospitality Management,Organizational Behavior and Human Resource Management,B,1.3410782415062437,1858,65,0.03498385360602799,0.010822530027893776,1.7734176584114192,False,False
The Journal of Strategic Information Systems,Management Information Systems,B,1.1821558903885616,256,8,0.03125,0.007956063426881793,1.7097522956096862,False,False
Journal of Accounting Literature,Accounting,A,0.15033692919074595,214,5,0.02336448598130841,0.00027628779528477066,1.6946512980378154,False,False
British Journal of Management,Accounting,B,1.1739371645916714,749,23,0.030707610146862484,0.00781319152551448,1.6804280664038478,False,False
Journal of Behavioral and Experimental Finance,Finance,A,1.0339675091344998,671,19,0.028315946348733235,0.005509256015441445,1.6739888953593487,False,False
Journal of Business Logistics,Management Information Systems,B,1.661752018645166,279,11,0.03942652329749104,0.016819331537218193,1.6593458940736137,False,False
Global Journal of Flexible Systems Management,Management Information Systems,B,0.5099483583346929,335,8,0.023880597014925373,0.0013956592711072634,1.6503725681342702,False,False
Psychology and Marketing,Marketing,B,1.2820791665608633,1260,40,0.031746031746031744,0.009707908345998675,1.6175768297411546,False,False
Long Range Planning,Strategy and Management,B,1.3720348533903368,520,17,0.032692307692307694,0.011414637361368331,1.5617603138635061,False,False
European Management Journal,Strategy and Management,B,0.8784182229705415,814,20,0.02457002457002457,0.0034360306750146116,1.5512146031638896,False,False
Pacific-Basin Finance Journal,Accounting,A,0.6879131066417292,1632,38,0.023284313725490197,0.002190156709205345,1.548290614999142,False,False
Journal of Accounting and Economics,Accounting,A,5.410914816402544,524,39,0.07442748091603053,0.05417136362716009,1.4867793138388037,False,False
Journal of Multinational Financial Management,Accounting,A,0.7969540526583504,262,6,0.022900763358778626,0.0027538690277944065,1.478762454928199,False,False
European Research on Management and Business Economics,Management of Technology and Innovation,A,0.5381061086219022,231,5,0.021645021645021644,0.0015437477526650948,1.4754139590899993,False,False
Global Finance Journal,Accounting,A,0.5847175080732521,556,12,0.02158273381294964,0.0017694514137969537,1.4542756635049758,False,False
Journal of Intellectual Capital,Strategy and Management,B,0.9018775170707725,496,11,0.02217741935483871,0.0037025158563004077,1.3560399535150307,False,False
Journal of Business Ethics,Information Systems and Management,B,1.3694746566091651,3325,99,0.029774436090225564,0.011366164674048204,1.3511492234565765,False,False
Organization & Environment,Marketing,B,1.2618815185820662,253,7,0.02766798418972332,0.009343446025304101,1.3450032841919544,False,False
Sustainability Accounting Management and Policy Journal,Strategy and Management,B,0.5675749543335465,450,9,0.02,0.0016899532543216242,1.3439396281464842,False,False
International Small Business Journal Researching Entrepreneurship,Management of Technology and Innovation,B,1.1802816357805999,459,12,0.026143790849673203,0.007925334239034533,1.3372170012882978,False,False
International Business Review,Strategy and Management,B,1.5632607922823067,885,29,0.0327683615819209,0.01502429528555766,1.3023972134734965,False,False
Review of Financial Studies,Finance,A,7.133916289101786,1168,94,0.08047945205479452,0.06280588131293431,1.2972229083162938,False,False
