source_idx,source_name,volume,issue,n_works,yr_min,yr_max,yr_spread,years_and_counts,example_titles
206124708,Organization Science,35,2,17,2001,2024,23,"{2001: 1, 2022: 1, 2023: 14, 2024: 1}",グローバル化する製品開発の分析視角--知識の粘着性とその克服 (特集 新製品開発研究の新潮流)
105584983,International Journal of Management and Decision Making,1,1,66,2000,2023,23,"{2000: 7, 2020: 1, 2021: 22, 2022: 25, 2023: 11}",Criteria prioritization of tourist satisfaction from long-distance transportation services towards a world heritage site: combined Fuzzy AHP and SERVQUAL approach
154565395,International Journal of Services Technology and Management,1,1,13,2000,2022,22,"{2000: 6, 2016: 3, 2017: 3, 2022: 1}",Predicting a Model of Agile Supply Chain in the Service Provider Enterprises by Factor Analysis Method and Fuzzy Cognitive Map
206124708,Organization Science,34,1,22,2000,2022,22,"{2000: 2, 2022: 20}",産学連携による成果創出のためのマネジメント (特集 産学連携と技術創造) | 分断による学習の概念化へ向けて--NC(Numerical Control)アーキテクチャーの進化事例
206124708,Organization Science,36,2,18,2002,2024,22,"{2002: 1, 2024: 17}",大学と工業集積--研究試作のための協力と課題 (特集 工業集積の変容と挑戦)
206124708,Organization Science,35,4,18,2002,2024,22,"{2002: 1, 2023: 7, 2024: 10}",中国華南のビジネスモデルと日本企業 (特集 日本企業は変わるか:戦略・システム・人事)
206124708,Organization Science,33,3,17,2000,2022,22,"{2000: 1, 2021: 15, 2022: 1}",自己超越する知識--創発する現実世界の組織化 (特集/組織における美と倫理)
84210283,International Journal of Human Resources Development and Management,1,1,17,2000,2022,22,"{2000: 10, 2016: 1, 2017: 1, 2018: 1, 2019: 1, 2020: 2, 2022: 1}","Role ambiguity, job interdependence, trust and horizontal flexible design affecting job satisfaction"
81410195,Manufacturing & Service Operations Management,2,1,8,2000,2021,21,"{2000: 7, 2021: 1}",Healthy Operation Mechanism of Innate Immune System of Quality Improvement Team in Manufacturing Enterprises
202178085,The Journal of Real Estate Finance and Economics,68,3,7,2002,2023,21,"{2002: 1, 2022: 5, 2023: 1}",FEM updating of a reinforced concrete beam using damage functions
206124708,Organization Science,36,3,8,2003,2024,21,"{2003: 1, 2023: 3, 2024: 4}",企業家活動と組織環境--組織生態学の視角から (特集 制度と組織)
147000529,International Journal of Automotive Technology and Management,1,1,10,2001,2022,21,"{2001: 9, 2022: 1}",Attributes for open innovation with automotive suppliers in new product development: a case study of the electrical and electronic system
