source_idx,source_name,volume,issue,n_works,yr_min,yr_max,yr_spread,vol_typical_yr,yr_excess,years_and_counts,example_titles
206124708,Organization Science,35,2,17,2001,2024,23,2023,22,"{2001: 1, 2022: 1, 2023: 14, 2024: 1}",グローバル化する製品開発の分析視角--知識の粘着性とその克服 (特集 新製品開発研究の新潮流)
206124708,Organization Science,34,1,22,2000,2022,22,2022,22,"{2000: 2, 2022: 20}",産学連携による成果創出のためのマネジメント (特集 産学連携と技術創造) | 分断による学習の概念化へ向けて--NC(Numerical Control)アーキテクチャーの進化事例
206124708,Organization Science,36,2,18,2002,2024,22,2024,22,"{2002: 1, 2024: 17}",大学と工業集積--研究試作のための協力と課題 (特集 工業集積の変容と挑戦)
206124708,Organization Science,35,4,18,2002,2024,22,2023,21,"{2002: 1, 2023: 7, 2024: 10}",中国華南のビジネスモデルと日本企業 (特集 日本企業は変わるか:戦略・システム・人事)
206124708,Organization Science,33,3,17,2000,2022,22,2021,21,"{2000: 1, 2021: 15, 2022: 1}",自己超越する知識--創発する現実世界の組織化 (特集/組織における美と倫理)
206124708,Organization Science,36,4,15,2003,2024,21,2024,21,"{2003: 2, 2024: 13}",市場の時代の人的資源管理 (特集 組織と戦略のダイナミック・インタラクション:考える経営者) | 組織能力と製品アーキテクチャ--下から見上げる戦略論 (特集 組織と戦略のダイナミック・インタラクション:考える経営者)
206124708,Organization Science,36,3,8,2003,2024,21,2024,21,"{2003: 1, 2023: 3, 2024: 4}",企業家活動と組織環境--組織生態学の視角から (特集 制度と組織)
194514787,Applied Health Economics and Health Policy,19,5,14,2002,2021,19,2021,19,"{2002: 1, 2021: 13}",What it Takes to be Great in the Role of Enterprise Architect
134988049,Econometric Reviews,68,1,8,2000,2017,17,2017,17,"{2000: 1, 2017: 7}",Innovation and Learning in an Industrial Distric in Japan--A Case Study on SMEs in Suwa-Okaya
134988049,Econometric Reviews,70,3,7,2002,2019,17,2019,17,"{2002: 1, 2019: 6}","Which would Marx ""betrachten"" : ""disturbances in the process of reproduction"" or ""Chap. VII of Book III""?"
134988049,Econometric Reviews,68,2,4,2000,2017,17,2017,17,"{2000: 1, 2017: 3}",Could Be the Failure of the WTO Ministerial Meeting in Seattle a Historic Watershed?--A Thought on the North-South Conflicts over Linkages between Trade & Enviornment and Trade & Labour Standards
2765057965,Gadjah Mada International Journal of Business,9,1,7,2007,2024,17,2007,17,"{2007: 6, 2024: 1}","Monetary Policy, Debt and the Cyclical Behavior of Inventories"
59289252,Intereconomics,56,2,14,2004,2021,17,2021,17,"{2004: 1, 2021: 13}",A Determinant Representation of Degrees 3 and 6 Invariants of a 3-ary Form of Degree 4.
9731383,Research Policy,49,8,19,2003,2020,17,2020,17,"{2003: 1, 2020: 18}",LANGUAGE AS A MIRROR OF THE WORLD:Reconciling picture theory and language games
134988049,Econometric Reviews,71,4,4,2004,2021,17,2020,16,"{2004: 1, 2021: 3}",The Establishment of Yoshino-Kumano National Park
151404345,Journal of Post Keynesian Economics,27,4,5,2005,2021,16,2005,16,"{2005: 1, 2014: 3, 2021: 1}",Will the classical-type approach survive Sraffian theory?
7345157,Eastern Economic Journal,26,4,7,2000,2016,16,2000,16,"{2000: 3, 2016: 4}",Teaching Note: Let's Stop Professing That the Legal Incidence of the Social Security Tax Is Irrelevant | Other Things Equal: How to Be a Good Graduate Student
134988049,Econometric Reviews,67,3,5,2000,2016,16,2016,16,"{2000: 1, 2016: 4}",Waste Recycling and Interregional Economy
7345157,Eastern Economic Journal,26,1,7,2000,2016,16,2000,16,"{2000: 5, 2016: 2}",OTHER THINGS EQUAL Alan Greenspan Doesn't Influence Interest Rates | A REVIEW OF THE RULES VERSUS DISCRETION DEBATE IN MONETARY POLICY
7345157,Eastern Economic Journal,27,4,7,2000,2016,16,2001,15,"{2000: 1, 2001: 4, 2016: 2}",The Theil Index in Sequences of Nested and Hierarchic Grouping Structures: Implications for the Measurement of Inequality through Time with Data Aggregated at Different Levels of Industrial Classification
7345157,Eastern Economic Journal,27,1,6,2001,2016,15,2001,15,"{2001: 5, 2016: 1}",Three Books of Oomph
7345157,Eastern Economic Journal,27,3,8,2001,2016,15,2001,15,"{2001: 7, 2016: 1}",EAST GERMAN INTERNATIONAL TRADE DURING TRANSITION AS A REFLECTION OF THE DYNAMICS OF COMPETITIVENESS
194514787,Applied Health Economics and Health Policy,19,6,15,2006,2021,15,2021,15,"{2006: 1, 2021: 14}",Two forgotten newspapers
7345157,Eastern Economic Journal,27,2,12,2001,2016,15,2001,15,"{2001: 10, 2016: 2}","A COMMENT ON DANIEL KLEIN'S ""A PLEA TO ECONOMISTS WHO FAVOR LIBERTY"" | RESPONSE FROM AN ECONOMIST WHO ALSO FAVORS LIBERTY"
43019230,PharmacoEconomics,42,3,8,2009,2023,14,2024,15,"{2009: 1, 2023: 7}",Sprachen testen - Hören und Lesen
95323914,Journal of Political Economy,131,12,9,2009,2023,14,2023,14,"{2009: 1, 2023: 8}",Reserve Prices in Internet Advertising Auctions: A Field Experiment
7345157,Eastern Economic Journal,28,2,6,2002,2016,14,2002,14,"{2002: 4, 2016: 2}",FUNDING SOCIAL SECURITY: THE TRANSITION IN A LIFE-CYCLE GROWTH MODEL | ECONOMIC TRANSITION AS A CRISIS OF VISION: CLASSICAL VERSUS NEOCLASSICAL THEORIES OF GENERAL EQUILIBRIUM
164321952,International Journal of Operations & Production Management,23,4,6,2003,2017,14,2003,14,"{2003: 5, 2017: 1}",Cooperation in Conflict of Three Participants under Uncertainty
162583106,Health Marketing Quarterly,39,2,8,2008,2022,14,2021,13,"{2008: 1, 2021: 6, 2022: 1}",Assessing the mixing performance of extruders: indices and scale-up
