source_idx,source_name,work_idx,publication_year,doi,doi_token,dominant_token,n_token_in_source,flag_type,title
323237,Accounting and Business Research,39137251,2003,https://doi.org/10.12968/jowc.2024.0133,jowc,00014788,1,foreign_token,Development of Accounting and Auditing Systems in China
323237,Accounting and Business Research,29029711,2003,https://doi.org/10.1053/j.tvir.2017.07.006,j,00014788,1,foreign_token,Rebuilding Public Trust: The Future of Corporate Reporting
4210193709,Asia Pacific Journal of Innovation and Entrepreneurship,31337403,2014,https://doi.org/10.1186/s12939-019-1014-2,s12939,apjie,1,foreign_token,"Urban knowledge and innovation spaces : concepts, conditions, and contexts"
4210223648,Business Management and Education,3080157722,2020,https://doi.org/10.3846/jbem.2020.12309,jbem,bme,1,foreign_token,EVALUATION OF DEMOGRAPHIC COMPONENT OF COUNTRIES’ ECONOMIC SECURITY
67103694,Cambridge Journal of Economics,3035561867,2019,https://doi.org/10.1093/cameco/bey061,cameco,cje,1,foreign_token,Withdrawn as Duplicate: An empirical analysis of Minsky regimes in the US economy
2736872555,Croatian Economic Survey,30094442,2012,https://doi.org/10.1039/c8nr05138k,c8nr05138k,ces,1,foreign_token,"Marija Stambolieva and Stefan Dehnert, eds.: Welfare States in Transition: 20 Years after the Yugoslav Welfare Model"
4210208307,Dirección y Organización,4401226667,2024,https://doi.org/10.37610/4d2cgm45,4d2cgm45,dyo,1,foreign_token,La intención emprendedora internacional en las PYMEs: una explicación desde la Teoría de las Redes de la empresa
4210208307,Dirección y Organización,4401227905,2024,https://doi.org/10.37610/1wcvsd31,1wcvsd31,dyo,1,foreign_token,Review of the Functional Resonance Analysis Method and other tools for resilience analysis in the construction sector
4210208307,Dirección y Organización,4401036582,2024,https://doi.org/10.37610/ntvzy102,ntvzy102,dyo,1,foreign_token,Experience the Prisoner's Dilemma: a game-based learning tool
4210208307,Dirección y Organización,4402348427,2024,https://doi.org/10.37610/v2mgge44,v2mgge44,dyo,1,foreign_token,Lean Manufacturing impulsado por IoT: un análisis bibliométrico de la literatura emergente
4210208307,Dirección y Organización,4401226489,2024,https://doi.org/10.37610/yavyvq49,yavyvq49,dyo,1,foreign_token,El envase y el embalaje en la encrucijada del “e-commerce”. ¿Puede Amazon marcar el camino?
4210208307,Dirección y Organización,4401036517,2024,https://doi.org/10.37610/qnqrhb09,qnqrhb09,dyo,1,foreign_token,Understanding strategic responses to the COVID-19 crisis by manufacturing SMEs: A cluster analysis
4210208307,Dirección y Organización,4401226618,2024,https://doi.org/10.37610/0njk0c03,0njk0c03,dyo,1,foreign_token,Network-based quality index aggregation in the retail location problem. A supervised learning approach
2494413385,ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,32486113,2011,https://doi.org/10.3390/nu12061605,nu12061605,18423264,1,foreign_token,Fiscal Decentralization and Tax Competition in the EU Member
2494413385,ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,2750662585,2018,https://doi.org/10.6084/m9.figshare.5966656,m9,18423264,1,foreign_token,MEASURING THE COMPANY’S REAL PERFORMANCE BY PHYSICAL CAPITAL MAINTENANCE
2764563877,EUROPEAN RESEARCH STUDIES JOURNAL,2935943292,2019,https://doi.org/10.11214/thalassinos.22.02.012,thalassinos,ersj,2,foreign_token,"An Analysis for New Institutionality in Science, Technology and Innovation in Colombia Using a Structural Vector Autoregression Model"
2764563877,EUROPEAN RESEARCH STUDIES JOURNAL,2946663111,2019,https://doi.org/10.11214/thalassinos.22.01.016,thalassinos,ersj,2,foreign_token,"Economic development, political violence and socio-political instability in Colombia : an econometric analysis using panel data"
1014724869,Economic Research-Ekonomska Istraživanja,2255389027,2015,https://doi.org/10.1080/15021149.2015.1092704,15021149,1331677x,1,foreign_token,Mandatory shares listing effect on further capital raising in the Croatian capital market from 2002–2010
4210175713,Economía,3124369290,2019,https://doi.org/10.1596/1813-9450-8852,1813,economia,1,foreign_token,Productivity Growth: Patterns and Determinants Across the World
2765073605,European Journal of Economics and Economic Policies Intervention,4250370307,2019,https://doi.org/10.4337/10.4337/ejeep.2019.0051,10,ejeep,1,foreign_token,On understanding economic reality at the beginning of the twenty-first century: an essay in remembrance of Professor Laski
4210231290,Financial markets and portfolio management,34765080,2013,https://doi.org/10.25365/thesis.27398,thesis,s11408,1,foreign_token,"Gaspar Noés ""Enter the void"""
2765057965,Gadjah Mada International Journal of Business,14284807,2000,https://doi.org/10.1177/13.1.44,13,gamaijb,1,foreign_token,Overrreaction of The Indonesian Capital Market:Is Market Rational
2765057965,Gadjah Mada International Journal of Business,2179418,2001,https://doi.org/10.1111/1523-1747.ep12874525,1523,gamaijb,1,foreign_token,"A Smple economietricModel of The Indonesian xchange Rate Fluctuation, 1990-1998"
2765057965,Gadjah Mada International Journal of Business,3711254,2002,https://doi.org/10.1016/0021-9681(86)90114-1,0021,gamaijb,1,foreign_token,CAN DEBT AND DIVIDEND POLICIES SUBSTITUTE INSIDER OWNERSHIP IN CONTROLLING EQUITY AGENCY CONFLICT
4210232703,Gospodarka Narodowa,1482461382,2015,https://doi.org/10.22004/ag.econ.358797,ag,gn,1,foreign_token,Unikanie opodatkowania w firmach rodzinnych notowanych na Giełdzie Papierów Wartościowych w Warszawie
83145862,History of Political Economy,15259174,2003,https://doi.org/10.1016/j.annemergmed.2004.01.028,j,00182702,1,foreign_token,The Moral Conditions of Economic Efficiency (Book)
134094273,Human Resource Management,1567091432,2012,https://doi.org/10.1093/hebz/9780199605484.003.0009,hebz,hrm,1,foreign_token,Redundancy and human resource management
134094273,Human Resource Management,2604122102,2017,https://doi.org/10.1057/978-1-137-52163-7_3,978,hrm,1,foreign_token,HRM in Multi-National Companies – A Critical Approach
202812398,Information Systems Research,3014599634,2001,https://doi.org/10.5555/767802.769251,767802,isre,1,foreign_token,The Effects of Time Pressure on Quality in Software Development
202812398,Information Systems Research,3004967840,2001,https://doi.org/10.5555/767806.769279,767806,isre,1,foreign_token,On Heterogeneous Database Retrieval
202812398,Information Systems Research,3016742164,2001,https://doi.org/10.5555/767805.769275,767805,isre,1,foreign_token,Should Optional Properties Be Used in Conceptual Modelling? A Theory and Three Empirical Tests
202812398,Information Systems Research,3169145431,2003,https://doi.org/10.5555/970417.970489,970417,isre,1,foreign_token,Improving Analysis Pattern Reuse in Conceptual Design
202812398,Information Systems Research,3157514002,2006,https://doi.org/10.5555/3215991.3215992,3215991,isre,1,foreign_token,Conceptualizing Systems for Understanding
202812398,Information Systems Research,3010951759,2008,https://doi.org/10.5555/3215995.3215996,3215995,isre,1,foreign_token,Examining the Relationship Between Reviews and Sales
202812398,Information Systems Research,3003755359,2010,https://doi.org/10.5555/1923779.1923790,1923779,isre,1,foreign_token,Research Commentary--Vigilant Interaction in Knowledge Collaboration
202812398,Information Systems Research,3005960979,2015,https://doi.org/10.5555/2895536.2895537,2895536,isre,2,foreign_token,Health Information Exchange as a Multisided Platform
