source_idx,source_name,n_works_total,vol_min,vol_max,n_recent_works,frac_with_page,n_recent_issues,n_issues_ea,frac_issues_ea,no_page_numbers,early_access,vol1_catchall
2764853111,Journal of Economic and Financial Sciences,507,1,17,143,0.0,5,2,0.4,True,True,True
2738076829,Cogent Business & Management,2880,1,12,2155,0.0,7,0,0.0,True,False,True
4210192748,International Journal of Academic Research in Accounting Finance and Management Sciences,1310,1,14,707,0.0,20,0,0.0,True,False,True
2764998092,International Journal of Academic Research in Economics and Management Sciences,849,1,13,489,0.002,19,0,0.0,True,False,True
4210205215,SA Journal of Human Resource Management,823,1,26,208,0.0,1,0,0.0,True,False,True
4210179731,Cuadernos de Administración,684,1,40,143,0.28,15,0,0.0,True,False,True
3034727917,Financial Innovation,655,1,10,496,0.224,5,0,0.0,True,False,True
2764555313,International Journal of Business,623,1,123,24,0.167,3,0,0.0,True,False,True
2764945587,International journal of entrepreneurship,600,1,27,434,0.106,19,0,0.0,True,False,True
4210220385,Economics,598,1,18,147,0.211,5,0,0.0,True,False,True
89611103,Global economy journal,530,1,24,69,0.087,14,0,0.0,True,False,True
4306515389,Journal of Business & Retail Management Research,512,1,19,49,0.0,9,0,0.0,True,False,True
4210226909,Acta Commercii,505,1,24,132,0.0,5,0,0.0,True,False,True
2764431486,World Review of Political Economy,489,1,16,146,0.0,16,0,0.0,True,False,True
71487352,BAR - Brazilian Administration Review,483,1,21,146,0.0,22,0,0.0,True,False,True
4210214382,Erasmus Journal for Philosophy and Economics,451,1,17,167,0.024,10,0,0.0,True,False,True
2764399430,Journal of Responsible Innovation,439,1,14,142,0.176,6,0,0.0,True,False,True
4210179146,Business Strategy & Development,435,1,8,324,0.457,16,0,0.0,True,False,True
2736497804,Revista Brasileira de Inovação,422,1,23,99,0.273,0,0,0.0,True,False,True
188292526,Econ journal watch,391,1,18,85,0.129,12,0,0.0,True,False,True
4210193298,EMC Review - Časopis za ekonomiju - APEIRON,391,1,28,103,0.0,5,0,0.0,True,False,True
71564990,Frontiers of Business Research in China,380,1,15,104,0.0,5,0,0.0,True,False,True
2764671874,Journal of Transport and Supply Chain Management,370,1,18,145,0.0,1,0,0.0,True,False,True
2736629167,Journal of Economic Structures,351,1,13,166,0.084,5,0,0.0,True,False,True
4210183232,Journal of global entrepreneurship research,340,1,14,221,0.348,5,0,0.0,True,False,True
80375752,Current Issues in Auditing,336,1,19,86,0.0,10,0,0.0,True,False,True
2765001115,The Economics of Peace and Security Journal,255,1,19,47,0.085,10,0,0.0,True,False,True
4210203263,Asian Journal of Accounting and Governance,237,1,22,55,0.0,0,0,0.0,True,False,True
5406955999,Journal for Advancement of Marketing Education,228,1,32,35,0.0,8,0,0.0,True,False,True
4210210758,Asian Journal of Business Research,227,1,14,118,0.263,15,0,0.0,True,False,True
4210240749,Indonesian Journal of Sustainability Accounting and Management,217,1,8,177,0.051,11,0,0.0,True,False,True
2764684190,IZA Journal of Labor Policy,185,1,13,53,0.0,5,0,0.0,True,False,True
4210222536,The Southern African Journal of Entrepreneurship and Small Business Management,183,1,16,96,0.0,5,0,0.0,True,False,True
2737963727,Indonesian Capital Market Review,161,1,16,52,0.462,9,0,0.0,True,False,True
63515265,Logistics Research,144,1,14,42,0.048,3,0,0.0,True,False,True
4210219657,American Review of Political Economy,136,1,18,34,0.0,4,1,0.25,True,False,True
2764798183,South African Actuarial Journal,127,1,23,23,0.435,4,0,0.0,True,False,True
4210193178,Organization Theory,127,1,5,127,0.0,20,0,0.0,True,False,True
4210185081,Revista de Economia Mackenzie,116,1,21,104,0.192,10,0,0.0,True,False,True
4210199953,American International Journal of Contemporary Research,94,1,10,83,0.048,11,0,0.0,True,False,True
4210212085,Global Business & Economics Anthology,34,1,2,34,0.324,4,0,0.0,True,False,True
4387283844,Journal of Accounting and Finance,30,1,3,30,0.0,5,0,0.0,True,False,True
678965,Value in Health,71768,3,28,16276,0.052,52,0,0.0,True,False,False
2765075218,Cogent Economics & Finance,1885,2,13,1232,0.0,6,0,0.0,True,False,False
181388337,International Journal of Innovation Management,1392,2,29,350,0.211,32,0,0.0,True,False,False
4210186494,Gestão & Produção,1322,7,31,246,0.0,8,0,0.0,True,False,False
2764575530,Academy of strategic management journal/Academy of Strategic Management journal,1265,1,21,1014,0.243,24,0,0.0,True,False,False
173574685,International Journal of Theoretical and Applied Finance,1253,3,27,172,0.401,31,0,0.0,True,False,False
2764672172,Academy of Accounting and Financial Studies journal,1179,4,26,693,0.291,24,0,0.0,True,False,False
157344451,South African Journal of Economic and Management Sciences,1100,3,77,141,0.0,4,1,0.25,True,False,False
2764594251,Engineering Economics,1047,5,66,55,0.364,5,1,0.2,True,False,False
149146142,International Journal of Innovation and Technology Management,995,1,21,345,0.003,40,2,0.05,True,False,False
4210192355,Journal of Applied Business and Economics,954,13,26,731,0.001,41,0,0.0,True,False,False
130757258,International Game Theory Review,812,2,28,97,0.0,16,0,0.0,True,False,False
2736592181,Revista Contabilidade & Finanças,780,12,35,267,0.348,15,0,0.0,True,False,False
2764651816,Academy of Entrepreneurship journal,759,6,28,560,0.198,18,0,0.0,True,False,False
183776795,Review of Pacific Basin Financial Markets and Policies,759,3,28,138,0.174,17,0,0.0,True,False,False
2764921377,Journal for Quality and Participation,752,23,118,167,0.006,0,0,0.0,True,False,False
4210215964,South African Journal of Business Management,707,31,60,169,0.0,4,0,0.0,True,False,False
